time, m1_pwm, set_pwm, calc_volt, bat_volt, meas_volt
0, 3.747800588607788, 0, 0, 0, 0
50, 3.747800588607788, 0, 0, 0, 0
100, 3.747800588607788, 65535, 3.03396, 53052, 3.03392564014375
150, 3.6000001430511475, 65535, 3.03396, 55230, 3.03392092623354
200, 3.6369502544403076, 65535, 3.03396, 54669, 3.03392741985194
250, 3.647507429122925, 65535, 3.03396, 54511, 3.03394029860257
300, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
350, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
400, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
450, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
500, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
550, 3.658064603805542, 65535, 3.03396, 54353, 3.03390227223076
600, 3.658064603805542, 0, 0, 0, 0
650, 3.7425220012664795, 0, 0, 0, 0
700, 3.747800588607788, 0, 0, 0, 0
750, 3.747800588607788, 0, 0, 0, 0
800, 3.747800588607788, 0, 0, 0, 0
850, 3.747800588607788, 0, 0, 0, 0
900, 3.747800588607788, 0, 0, 0, 0
950, 3.747800588607788, 0, 0, 0, 0
1000, 3.747800588607788, 0, 0, 0, 0
1050, 3.7530791759490967, 0, 0, 0, 0
1100, 3.747800588607788, 0, 0, 0, 0
1150, 3.747800588607788, 0, 0, 0, 0
1200, 3.747800588607788, 0, 0, 0, 0
1250, 3.747800588607788, 0, 0, 0, 0
1300, 3.747800588607788, 0, 0, 0, 0
1350, 3.747800588607788, 0, 0, 0, 0
1400, 3.747800588607788, 0, 0, 0, 0
1450, 3.747800588607788, 0, 0, 0, 0
1500, 3.7530791759490967, 0, 0, 0, 0
1550, 3.747800588607788, 0, 0, 0, 0
1600, 3.747800588607788, 0, 0, 0, 0
1650, 3.747800588607788, 0, 0, 0, 0
1700, 3.7530791759490967, 0, 0, 0, 0
1750, 3.747800588607788, 0, 0, 0, 0
1800, 3.7530791759490967, 0, 0, 0, 0
1850, 3.7530791759490967, 0, 0, 0, 0
1900, 3.747800588607788, 0, 0, 0, 0
1950, 3.7530791759490967, 0, 0, 0, 0
2000, 3.7530791759490967, 0, 0, 0, 0
2050, 3.7530791759490967, 0, 0, 0, 0
2100, 3.7530791759490967, 0, 0, 0, 0
2150, 3.7530791759490967, 0, 0, 0, 0
2200, 3.7530791759490967, 0, 0, 0, 0
2250, 3.7530791759490967, 0, 0, 0, 0
2300, 3.7530791759490967, 0, 0, 0, 0
2350, 3.7530791759490967, 0, 0, 0, 0
2400, 3.7530791759490967, 0, 0, 0, 0
2450, 3.7530791759490967, 0, 0, 0, 0
2500, 3.7530791759490967, 0, 0, 0, 0
2550, 3.7530791759490967, 0, 0, 0, 0
2600, 3.7530791759490967, 0, 0, 0, 0
2650, 3.7530791759490967, 0, 0, 0, 0
2700, 3.7530791759490967, 0, 0, 0, 0
2750, 3.7530791759490967, 0, 0, 0, 0
2800, 3.7530791759490967, 0, 0, 0, 0
2850, 3.7530791759490967, 0, 0, 0, 0
2900, 3.7530791759490967, 0, 0, 0, 0
2950, 3.7530791759490967, 0, 0, 0, 0
3000, 3.7583577632904053, 0, 0, 0, 0
3050, 3.7530791759490967, 0, 0, 0, 0
3100, 3.7530791759490967, 0, 0, 0, 0
3150, 3.7530791759490967, 0, 0, 0, 0
3200, 3.7530791759490967, 0, 0, 0, 0
3250, 3.7583577632904053, 0, 0, 0, 0
3300, 3.7530791759490967, 0, 0, 0, 0
3350, 3.7530791759490967, 0, 0, 0, 0
3400, 3.7583577632904053, 0, 0, 0, 0
3450, 3.7530791759490967, 0, 0, 0, 0
3500, 3.7530791759490967, 0, 0, 0, 0
3550, 3.7530791759490967, 0, 0, 0, 0
3600, 3.7530791759490967, 0, 0, 0, 0
3650, 3.7530791759490967, 0, 0, 0, 0
3700, 3.7583577632904053, 0, 0, 0, 0
3750, 3.7530791759490967, 0, 0, 0, 0
3800, 3.7583577632904053, 0, 0, 0, 0
3850, 3.7583577632904053, 0, 0, 0, 0
3900, 3.7583577632904053, 0, 0, 0, 0
3950, 3.7583577632904053, 0, 0, 0, 0
4000, 3.7583577632904053, 0, 0, 0, 0
4050, 3.7583577632904053, 0, 0, 0, 0
4100, 3.7583577632904053, 0, 0, 0, 0
4150, 3.7530791759490967, 0, 0, 0, 0
4200, 3.7583577632904053, 0, 0, 0, 0
4250, 3.7583577632904053, 0, 0, 0, 0
4300, 3.7583577632904053, 0, 0, 0, 0
4350, 3.747800588607788, 8192, 0.624914624934607, 10927, 0.624890776405238
4400, 3.747800588607788, 8192, 0.624914624934607, 10927, 0.624890776405238
4450, 3.747800588607788, 8192, 0.624914624934607, 10927, 0.624890776405238
4500, 3.747800588607788, 8192, 0.624914624934607, 10927, 0.624890776405238
