time, m1_pwm, set_pwm, calc_volt, bat_volt, meas_volt
0, 3.695014715194702, 0, 0, 0, 0
50, 3.695014715194702, 0, 0, 0, 0
100, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
150, 3.5577714443206787, 65535, 3.03396, 55886, 3.03394544804006
200, 3.578885793685913, 65535, 3.03396, 55556, 3.03392964300015
250, 3.594721555709839, 65535, 3.03396, 55311, 3.03391537297424
300, 3.6000001430511475, 65535, 3.03396, 55230, 3.03392092623354
350, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
400, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
450, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
500, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
550, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
600, 3.605278730392456, 0, 0, 0, 0
650, 3.695014715194702, 0, 0, 0, 0
700, 3.695014715194702, 0, 0, 0, 0
750, 3.695014715194702, 0, 0, 0, 0
800, 3.695014715194702, 0, 0, 0, 0
850, 3.695014715194702, 0, 0, 0, 0
900, 3.7002933025360107, 0, 0, 0, 0
950, 3.7002933025360107, 0, 0, 0, 0
1000, 3.7002933025360107, 0, 0, 0, 0
1050, 3.7002933025360107, 0, 0, 0, 0
1100, 3.7002933025360107, 0, 0, 0, 0
1150, 3.7002933025360107, 0, 0, 0, 0
1200, 3.7002933025360107, 0, 0, 0, 0
1250, 3.7002933025360107, 0, 0, 0, 0
1300, 3.7002933025360107, 0, 0, 0, 0
1350, 3.7002933025360107, 0, 0, 0, 0
1400, 3.7055718898773193, 0, 0, 0, 0
1450, 3.7055718898773193, 0, 0, 0, 0
1500, 3.7055718898773193, 0, 0, 0, 0
1550, 3.7055718898773193, 0, 0, 0, 0
1600, 3.7055718898773193, 0, 0, 0, 0
1650, 3.7055718898773193, 0, 0, 0, 0
1700, 3.7055718898773193, 0, 0, 0, 0
1750, 3.7055718898773193, 0, 0, 0, 0
1800, 3.7055718898773193, 0, 0, 0, 0
1850, 3.7055718898773193, 0, 0, 0, 0
1900, 3.7055718898773193, 0, 0, 0, 0
1950, 3.710850477218628, 0, 0, 0, 0
2000, 3.710850477218628, 0, 0, 0, 0
2050, 3.7055718898773193, 0, 0, 0, 0
2100, 3.710850477218628, 0, 0, 0, 0
2150, 3.710850477218628, 0, 0, 0, 0
2200, 3.710850477218628, 0, 0, 0, 0
2250, 3.710850477218628, 0, 0, 0, 0
2300, 3.710850477218628, 0, 0, 0, 0
2350, 3.710850477218628, 0, 0, 0, 0
2400, 3.710850477218628, 0, 0, 0, 0
2450, 3.710850477218628, 0, 0, 0, 0
2500, 3.710850477218628, 0, 0, 0, 0
2550, 3.710850477218628, 0, 0, 0, 0
2600, 3.7161290645599365, 0, 0, 0, 0
2650, 3.710850477218628, 0, 0, 0, 0
2700, 3.710850477218628, 0, 0, 0, 0
2750, 3.7161290645599365, 0, 0, 0, 0
2800, 3.710850477218628, 0, 0, 0, 0
2850, 3.710850477218628, 0, 0, 0, 0
2900, 3.7161290645599365, 0, 0, 0, 0
2950, 3.7161290645599365, 0, 0, 0, 0
