time, m1_pwm, set_pwm, calc_volt, bat_volt, meas_volt
0, 3.8164222240448, 0, 0, 0, 0
50, 3.8217008113861084, 0, 0, 0, 0
100, 3.8164222240448, 65535, 3.03396, 52098, 3.03392027204221
150, 3.668621778488159, 65535, 3.03396, 54197, 3.03392529989659
200, 3.7002933025360107, 65535, 3.03396, 53733, 3.03391866979732
250, 3.7161290645599365, 65535, 3.03396, 53504, 3.03391728801732
300, 3.721407651901245, 65535, 3.03396, 53428, 3.03391116236789
350, 3.7266862392425537, 65535, 3.03396, 53352, 3.03389279371433
400, 3.7266862392425537, 65535, 3.03396, 53352, 3.03389279371433
450, 3.7266862392425537, 65535, 3.03396, 53352, 3.03389279371433
500, 3.7266862392425537, 65535, 3.03396, 53352, 3.03389279371433
550, 3.7266862392425537, 65535, 3.03396, 53352, 3.03389279371433
600, 3.7266862392425537, 0, 0, 0, 0
650, 3.8164222240448, 0, 0, 0, 0
700, 3.8164222240448, 0, 0, 0, 0
750, 3.8164222240448, 0, 0, 0, 0
800, 3.8217008113861084, 0, 0, 0, 0
850, 3.8217008113861084, 0, 0, 0, 0
900, 3.8217008113861084, 0, 0, 0, 0
950, 3.8217008113861084, 0, 0, 0, 0
1000, 3.8217008113861084, 0, 0, 0, 0
1050, 3.8164222240448, 0, 0, 0, 0
1100, 3.8217008113861084, 0, 0, 0, 0
1150, 3.8217008113861084, 0, 0, 0, 0
1200, 3.8217008113861084, 0, 0, 0, 0
1250, 3.8217008113861084, 256, 0.0205910418208229, 353, 0.0205853419763378
1300, 3.8217008113861084, 512, 0.0411135378486382, 705, 0.041112368536312
1350, 3.8217008113861084, 512, 0.0411135378486382, 705, 0.041112368536312
1400, 3.8217008113861084, 512, 0.0411135378486382, 705, 0.041112368536312
1450, 3.8217008113861084, 768, 0.0615674880834461, 1055, 0.0615227642635591
1500, 3.8217008113861084, 768, 0.0615674880834461, 1055, 0.0615227642635591
1550, 3.8217008113861084, 1024, 0.0819528925252464, 1405, 0.0819331599908062
1600, 3.8217008113861084, 1024, 0.0819528925252464, 1405, 0.0819331599908062
1650, 3.8217008113861084, 1280, 0.102269751174039, 1753, 0.102226924885326
1700, 3.8217008113861084, 1280, 0.102269751174039, 1753, 0.102226924885326
1750, 3.8217008113861084, 1536, 0.122518064029825, 2100, 0.122462374363483
1800, 3.8217008113861084, 1536, 0.122518064029825, 2100, 0.122462374363483
1850, 3.8217008113861084, 1792, 0.142697831092602, 2446, 0.142639508425275
1900, 3.8217008113861084, 1792, 0.142697831092602, 2446, 0.142639508425275
1950, 3.8217008113861084, 2048, 0.162809052362373, 2791, 0.162758327070705
2000, 3.8217008113861084, 2048, 0.162809052362373, 2791, 0.162758327070705
2050, 3.8217008113861084, 2304, 0.182851727839135, 3135, 0.18281883029977
2100, 3.8217008113861084, 2304, 0.182851727839135, 3135, 0.18281883029977
2150, 3.8217008113861084, 2560, 0.202825857522891, 3478, 0.202821018112472
2200, 3.8217008113861084, 2560, 0.202825857522891, 3478, 0.202821018112472
2250, 3.826979398727417, 2816, 0.222731441413639, 3814, 0.222722200759081
2300, 3.8217008113861084, 2816, 0.222731441413639, 3819, 0.222706575092448
2350, 3.8217008113861084, 3072, 0.242568479511379, 4159, 0.242533816656059
2400, 3.8217008113861084, 3072, 0.242568479511379, 4159, 0.242533816656059
2450, 3.8217008113861084, 3328, 0.262336971816112, 4498, 0.262302742803307
2500, 3.8217008113861084, 3328, 0.262336971816112, 4498, 0.262302742803307
2550, 3.8217008113861084, 3584, 0.282036918327837, 4836, 0.282013353534191
2600, 3.8217008113861084, 3584, 0.282036918327837, 4836, 0.282013353534191
2650, 3.8217008113861084, 3840, 0.301668319046555, 5172, 0.301607333432348
2700, 3.8217008113861084, 3840, 0.301668319046555, 5172, 0.301607333432348
2750, 3.8217008113861084, 4096, 0.321231173972265, 5508, 0.321201313330506
2800, 3.8217008113861084, 4096, 0.321231173972265, 5508, 0.321201313330506
2850, 3.8217008113861084, 4352, 0.340725483104968, 5842, 0.340678662395936
2900, 3.8217008113861084, 4352, 0.340725483104968, 5842, 0.340678662395936
2950, 3.8217008113861084, 4608, 0.360151246444663, 6175, 0.360097696045002
3000, 3.8217008113861084, 4608, 0.360151246444663, 6175, 0.360097696045002
3050, 3.8217008113861084, 4864, 0.37950846399135, 6507, 0.379458414277705
3100, 3.8217008113861084, 4864, 0.37950846399135, 6507, 0.379458414277705
3150, 3.8217008113861084, 5120, 0.398797135745031, 6838, 0.398760817094045
3200, 3.8164222240448, 5120, 0.398797135745031, 6847, 0.398734156832757
3250, 3.8164222240448, 5376, 0.418017261705703, 7178, 0.418009898896675
3300, 3.8164222240448, 5376, 0.418017261705703, 7178, 0.418009898896675
3350, 3.8164222240448, 5632, 0.437168841873369, 7506, 0.437110936349741
3400, 3.8164222240448, 5632, 0.437168841873369, 7506, 0.437110936349741
3450, 3.8164222240448, 5888, 0.456251876248026, 7834, 0.456211973802807
3500, 3.8164222240448, 5888, 0.456251876248026, 7834, 0.456211973802807
