time, m1_pwm, set_pwm, calc_volt, bat_volt, meas_volt
0, 3.7847506999969482, 0, 0, 0, 0
50, 3.7847506999969482, 0, 0, 0, 0
100, 3.7847506999969482, 65535, 3.03396, 52534, 3.03392222894087
150, 3.642228841781616, 65535, 3.03396, 54590, 3.03394022236757
200, 3.6739003658294678, 65535, 3.03396, 54119, 3.03391796594682
250, 3.6897361278533936, 65535, 3.03396, 53887, 3.03393317649555
300, 3.6897361278533936, 65535, 3.03396, 53887, 3.03393317649555
350, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
400, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
450, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
500, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
550, 3.695014715194702, 65535, 3.03396, 53810, 3.03393212519458
600, 3.695014715194702, 0, 0, 0, 0
650, 3.7847506999969482, 0, 0, 0, 0
700, 3.7847506999969482, 0, 0, 0, 0
750, 3.7847506999969482, 0, 0, 0, 0
800, 3.7847506999969482, 0, 0, 0, 0
850, 3.7847506999969482, 0, 0, 0, 0
900, 3.790029287338257, 0, 0, 0, 0
950, 3.790029287338257, 0, 0, 0, 0
1000, 3.790029287338257, 0, 0, 0, 0
1050, 3.790029287338257, 0, 0, 0, 0
1100, 3.790029287338257, 0, 0, 0, 0
1150, 3.790029287338257, 0, 0, 0, 0
1200, 3.790029287338257, 256, 0.0205910418208229, 356, 0.020588241798923
1250, 3.790029287338257, 256, 0.0205910418208229, 356, 0.020588241798923
1300, 3.790029287338257, 512, 0.0411135378486382, 710, 0.0410608193180768
1350, 3.790029287338257, 512, 0.0411135378486382, 710, 0.0410608193180768
1400, 3.790029287338257, 768, 0.0615674880834461, 1064, 0.0615333968372306
1450, 3.790029287338257, 768, 0.0615674880834461, 1064, 0.0615333968372306
1500, 3.790029287338257, 1024, 0.0819528925252464, 1417, 0.0819481422164997
1550, 3.790029287338257, 1024, 0.0819528925252464, 1417, 0.0819481422164997
1600, 3.790029287338257, 1280, 0.102269751174039, 1768, 0.102247223316
1650, 3.790029287338257, 1280, 0.102269751174039, 1768, 0.102247223316
1700, 3.790029287338257, 1536, 0.122518064029825, 2118, 0.122488472275615
1750, 3.790029287338257, 1536, 0.122518064029825, 2118, 0.122488472275615
1800, 3.790029287338257, 1792, 0.142697831092602, 2467, 0.142671889095346
1850, 3.790029287338257, 1792, 0.142697831092602, 2467, 0.142671889095346
1900, 3.790029287338257, 2048, 0.162809052362373, 2815, 0.162797473775192
1950, 3.790029287338257, 2048, 0.162809052362373, 2815, 0.162797473775192
2000, 3.790029287338257, 2304, 0.182851727839135, 3161, 0.182807394175269
2050, 3.790029287338257, 2304, 0.182851727839135, 3161, 0.182807394175269
2100, 3.790029287338257, 2560, 0.202825857522891, 3507, 0.202817314575345
2150, 3.790029287338257, 2560, 0.202825857522891, 3507, 0.202817314575345
2200, 3.790029287338257, 2816, 0.222731441413639, 3851, 0.222711570695653
2250, 3.790029287338257, 2816, 0.222731441413639, 3851, 0.222711570695653
2300, 3.7847506999969482, 3072, 0.242568479511379, 4200, 0.24255669398012
2350, 3.790029287338257, 3072, 0.242568479511379, 4194, 0.242547994676076
2400, 3.7847506999969482, 3328, 0.262336971816112, 4542, 0.262307739061359
2450, 3.7847506999969482, 3328, 0.262336971816112, 4542, 0.262307739061359
2500, 3.7847506999969482, 3584, 0.282036918327837, 4883, 0.282001032548792
2550, 3.7847506999969482, 3584, 0.282036918327837, 4883, 0.282001032548792
2600, 3.790029287338257, 3840, 0.301668319046555, 5216, 0.301652441638153
2650, 3.7847506999969482, 3840, 0.301668319046555, 5223, 0.301636574442421
2700, 3.7847506999969482, 4096, 0.321231173972265, 5562, 0.321214364742245
2750, 3.7847506999969482, 4096, 0.321231173972265, 5562, 0.321214364742245
