time, m1_pwm, set_pwm, calc_volt, bat_volt, meas_volt
0, 3.7002933025360107, 0, 0, 0, 0
50, 3.7002933025360107, 0, 0, 0, 0
100, 3.568328619003296, 65535, 3.03396, 55720, 3.03390967652191
150, 3.5736072063446045, 65535, 3.03396, 55638, 3.03392626453958
200, 3.594721555709839, 65535, 3.03396, 55311, 3.03391537297424
250, 3.605278730392456, 65535, 3.03396, 55149, 3.0339134310279
300, 3.6105573177337646, 65535, 3.03396, 55069, 3.03394798093051
350, 3.6105573177337646, 65535, 3.03396, 55069, 3.03394798093051
400, 3.6158359050750732, 65535, 3.03396, 54988, 3.03391446934109
450, 3.6158359050750732, 65535, 3.03396, 54988, 3.03391446934109
500, 3.6158359050750732, 65535, 3.03396, 54988, 3.03391446934109
550, 3.6158359050750732, 65535, 3.03396, 54988, 3.03391446934109
600, 3.695014715194702, 0, 0, 0, 0
650, 3.7055718898773193, 0, 0, 0, 0
700, 3.7055718898773193, 0, 0, 0, 0
750, 3.7055718898773193, 0, 0, 0, 0
800, 3.7055718898773193, 0, 0, 0, 0
850, 3.7055718898773193, 0, 0, 0, 0
900, 3.710850477218628, 0, 0, 0, 0
950, 3.710850477218628, 0, 0, 0, 0
1000, 3.710850477218628, 0, 0, 0, 0
1050, 3.710850477218628, 0, 0, 0, 0
1100, 3.710850477218628, 0, 0, 0, 0
1150, 3.710850477218628, 0, 0, 0, 0
1200, 3.710850477218628, 0, 0, 0, 0
1250, 3.7161290645599365, 0, 0, 0, 0
1300, 3.710850477218628, 0, 0, 0, 0
1350, 3.710850477218628, 0, 0, 0, 0
1400, 3.7161290645599365, 0, 0, 0, 0
1450, 3.7161290645599365, 0, 0, 0, 0
1500, 3.7161290645599365, 0, 0, 0, 0
1550, 3.7161290645599365, 0, 0, 0, 0
1600, 3.7161290645599365, 0, 0, 0, 0
1650, 3.7161290645599365, 0, 0, 0, 0
1700, 3.7161290645599365, 0, 0, 0, 0
1750, 3.7161290645599365, 0, 0, 0, 0
1800, 3.721407651901245, 0, 0, 0, 0
1850, 3.7161290645599365, 0, 0, 0, 0
1900, 3.721407651901245, 0, 0, 0, 0
1950, 3.7161290645599365, 0, 0, 0, 0
2000, 3.7161290645599365, 0, 0, 0, 0
2050, 3.721407651901245, 0, 0, 0, 0
2100, 3.721407651901245, 0, 0, 0, 0
2150, 3.721407651901245, 0, 0, 0, 0
2200, 3.721407651901245, 0, 0, 0, 0
2250, 3.721407651901245, 0, 0, 0, 0
2300, 3.721407651901245, 0, 0, 0, 0
2350, 3.721407651901245, 0, 0, 0, 0
2400, 3.721407651901245, 0, 0, 0, 0
2450, 3.721407651901245, 0, 0, 0, 0
2500, 3.7266862392425537, 0, 0, 0, 0
2550, 3.7266862392425537, 0, 0, 0, 0
2600, 3.721407651901245, 0, 0, 0, 0
2650, 3.7266862392425537, 0, 0, 0, 0
2700, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
2750, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
2800, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
2850, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
2900, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
2950, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3000, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
3050, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
3100, 3.721407651901245, 4096, 0.321231173972265, 5656, 0.321176191030037
3150, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3200, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3250, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3300, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3350, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3400, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3450, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3500, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3550, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3600, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3650, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3700, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3750, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
3800, 3.7266862392425537, 4096, 0.321231173972265, 5648, 0.321176834962111
