Wed Feb 21 06:32:40 2018
###Command: takeoff###
[173020][PWM]: {'pwm.m2_pwm': 36797.0, 'pm.vbat': 3.4521994590759277, 'pwm.m1_pwm': 45072.0, 'pwm.m3_pwm': 33061.0, 'pwm.m4_pwm': 44522.0}
[173070][PWM]: {'pwm.m2_pwm': 52138.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 49107.0, 'pwm.m3_pwm': 50381.0, 'pwm.m4_pwm': 49205.0}
[173120][PWM]: {'pwm.m2_pwm': 41745.0, 'pm.vbat': 3.4258065223693848, 'pwm.m1_pwm': 46247.0, 'pwm.m3_pwm': 37673.0, 'pwm.m4_pwm': 44988.0}
[173170][PWM]: {'pwm.m2_pwm': 52393.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 49905.0, 'pwm.m3_pwm': 51234.0, 'pwm.m4_pwm': 50127.0}
[173220][PWM]: {'pwm.m2_pwm': 39108.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 48358.0, 'pwm.m3_pwm': 34100.0, 'pwm.m4_pwm': 47012.0}
[173270][PWM]: {'pwm.m2_pwm': 52852.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 35061.0, 'pwm.m3_pwm': 57273.0, 'pwm.m4_pwm': 44841.0}
[173320][PWM]: {'pwm.m2_pwm': 38647.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 46305.0, 'pwm.m3_pwm': 35774.0, 'pwm.m4_pwm': 45121.0}
[173370][PWM]: {'pwm.m2_pwm': 52113.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 44824.0, 'pwm.m3_pwm': 51931.0, 'pwm.m4_pwm': 45503.0}
[173420][PWM]: {'pwm.m2_pwm': 43926.0, 'pm.vbat': 3.420527935028076, 'pwm.m1_pwm': 38399.0, 'pwm.m3_pwm': 45318.0, 'pwm.m4_pwm': 41473.0}
[173470][PWM]: {'pwm.m2_pwm': 51206.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 42549.0, 'pwm.m3_pwm': 54395.0, 'pwm.m4_pwm': 46949.0}
[173520][PWM]: {'pwm.m2_pwm': 37608.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 53744.0, 'pwm.m3_pwm': 28270.0, 'pwm.m4_pwm': 49270.0}
[173570][PWM]: {'pwm.m2_pwm': 52472.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 41172.0, 'pwm.m3_pwm': 55403.0, 'pwm.m4_pwm': 46266.0}
[173620][PWM]: {'pwm.m2_pwm': 43650.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 43132.0, 'pwm.m3_pwm': 41945.0, 'pwm.m4_pwm': 42495.0}
[173670][PWM]: {'pwm.m2_pwm': 50990.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48247.0, 'pwm.m3_pwm': 49731.0, 'pwm.m4_pwm': 47444.0}
[173720][PWM]: {'pwm.m2_pwm': 43685.0, 'pm.vbat': 3.409970760345459, 'pwm.m1_pwm': 48139.0, 'pwm.m3_pwm': 37888.0, 'pwm.m4_pwm': 44855.0}
