Wed Feb 21 06:24:45 2018
###Command: takeoff###
[223886][PWM]: {'pwm.m1_pwm': 46333.0, 'pwm.m4_pwm': 47202.0, 'pwm.m2_pwm': 47126.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 46633.0}
[223936][PWM]: {'pwm.m1_pwm': 47370.0, 'pwm.m4_pwm': 46633.0, 'pwm.m2_pwm': 46879.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45338.0}
[223986][PWM]: {'pwm.m1_pwm': 47769.0, 'pwm.m4_pwm': 48082.0, 'pwm.m2_pwm': 47394.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 47093.0}
[224036][PWM]: {'pwm.m1_pwm': 48666.0, 'pwm.m4_pwm': 46344.0, 'pwm.m2_pwm': 48299.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45441.0}
[224086][PWM]: {'pwm.m1_pwm': 48751.0, 'pwm.m4_pwm': 48839.0, 'pwm.m2_pwm': 48736.0, 'pm.vbat': 3.4416422843933105, 'pwm.m3_pwm': 48293.0}
[224136][PWM]: {'pwm.m1_pwm': 49414.0, 'pwm.m4_pwm': 47206.0, 'pwm.m2_pwm': 49166.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 46553.0}
[224186][PWM]: {'pwm.m1_pwm': 49204.0, 'pwm.m4_pwm': 47649.0, 'pwm.m2_pwm': 48239.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 46662.0}
[224236][PWM]: {'pwm.m1_pwm': 47723.0, 'pwm.m4_pwm': 47298.0, 'pwm.m2_pwm': 45792.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45523.0}
[224286][PWM]: {'pwm.m1_pwm': 48035.0, 'pwm.m4_pwm': 46038.0, 'pwm.m2_pwm': 48233.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 46291.0}
[224336][PWM]: {'pwm.m1_pwm': 46481.0, 'pwm.m4_pwm': 45296.0, 'pwm.m2_pwm': 45161.0, 'pm.vbat': 3.473313808441162, 'pwm.m3_pwm': 43889.0}
[224386][PWM]: {'pwm.m1_pwm': 47125.0, 'pwm.m4_pwm': 45475.0, 'pwm.m2_pwm': 46632.0, 'pm.vbat': 3.4785923957824707, 'pwm.m3_pwm': 44551.0}
[224436][PWM]: {'pwm.m1_pwm': 46111.0, 'pwm.m4_pwm': 45469.0, 'pwm.m2_pwm': 46123.0, 'pm.vbat': 3.4785923957824707, 'pwm.m3_pwm': 44562.0}
[224486][PWM]: {'pwm.m1_pwm': 28510.0, 'pwm.m4_pwm': 31475.0, 'pwm.m2_pwm': 30589.0, 'pm.vbat': 3.5894429683685303, 'pwm.m3_pwm': 31955.0}
[224536][PWM]: {'pwm.m1_pwm': 48413.0, 'pwm.m4_pwm': 44082.0, 'pwm.m2_pwm': 44406.0, 'pm.vbat': 3.5102639198303223, 'pwm.m3_pwm': 37401.0}
[224586][PWM]: {'pwm.m1_pwm': 22634.0, 'pwm.m4_pwm': 33893.0, 'pwm.m2_pwm': 35218.0, 'pm.vbat': 3.55249285697937, 'pwm.m3_pwm': 41678.0}
[224636][PWM]: {'pwm.m1_pwm': 48663.0, 'pwm.m4_pwm': 45369.0, 'pwm.m2_pwm': 45833.0, 'pm.vbat': 3.5049853324890137, 'pwm.m3_pwm': 39395.0}
[224686][PWM]: {'pwm.m1_pwm': 32354.0, 'pwm.m4_pwm': 38671.0, 'pwm.m2_pwm': 38355.0, 'pm.vbat': 3.541935443878174, 'pwm.m3_pwm': 40780.0}
[224736][PWM]: {'pwm.m1_pwm': 48478.0, 'pwm.m4_pwm': 47632.0, 'pwm.m2_pwm': 47333.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 43516.0}
[224786][PWM]: {'pwm.m1_pwm': 37120.0, 'pwm.m4_pwm': 40037.0, 'pwm.m2_pwm': 42750.0, 'pm.vbat': 3.515542507171631, 'pwm.m3_pwm': 42190.0}
[224836][PWM]: {'pwm.m1_pwm': 50184.0, 'pwm.m4_pwm': 49245.0, 'pwm.m2_pwm': 48089.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 44187.0}
[224886][PWM]: {'pwm.m1_pwm': 39278.0, 'pwm.m4_pwm': 41546.0, 'pwm.m2_pwm': 44685.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 43821.0}
[224936][PWM]: {'pwm.m1_pwm': 50989.0, 'pwm.m4_pwm': 50100.0, 'pwm.m2_pwm': 48463.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 44968.0}
[224986][PWM]: {'pwm.m1_pwm': 40211.0, 'pwm.m4_pwm': 43029.0, 'pwm.m2_pwm': 44860.0, 'pm.vbat': 3.4944281578063965, 'pwm.m3_pwm': 45075.0}
[225036][PWM]: {'pwm.m1_pwm': 50676.0, 'pwm.m4_pwm': 50194.0, 'pwm.m2_pwm': 49033.0, 'pm.vbat': 3.4416422843933105, 'pwm.m3_pwm': 46422.0}
[225086][PWM]: {'pwm.m1_pwm': 42436.0, 'pwm.m4_pwm': 43980.0, 'pwm.m2_pwm': 43288.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 42794.0}
[225136][PWM]: {'pwm.m1_pwm': 49240.0, 'pwm.m4_pwm': 49303.0, 'pwm.m2_pwm': 48428.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 46697.0}
[225186][PWM]: {'pwm.m1_pwm': 42323.0, 'pwm.m4_pwm': 40659.0, 'pwm.m2_pwm': 46192.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 42751.0}
[225236][PWM]: {'pwm.m1_pwm': 48108.0, 'pwm.m4_pwm': 48592.0, 'pwm.m2_pwm': 47658.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 46404.0}
[225286][PWM]: {'pwm.m1_pwm': 43726.0, 'pwm.m4_pwm': 42098.0, 'pwm.m2_pwm': 44694.0, 'pm.vbat': 3.499706745147705, 'pwm.m3_pwm': 41387.0}
[225336][PWM]: {'pwm.m1_pwm': 48048.0, 'pwm.m4_pwm': 48809.0, 'pwm.m2_pwm': 49292.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 48554.0}
[225386][PWM]: {'pwm.m1_pwm': 43823.0, 'pwm.m4_pwm': 42918.0, 'pwm.m2_pwm': 44799.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 42279.0}
[225436][PWM]: {'pwm.m1_pwm': 48215.0, 'pwm.m4_pwm': 49114.0, 'pwm.m2_pwm': 48486.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 47852.0}
[225486][PWM]: {'pwm.m1_pwm': 43741.0, 'pwm.m4_pwm': 43180.0, 'pwm.m2_pwm': 45253.0, 'pm.vbat': 3.4838709831237793, 'pwm.m3_pwm': 43072.0}
[225536][PWM]: {'pwm.m1_pwm': 48173.0, 'pwm.m4_pwm': 48780.0, 'pwm.m2_pwm': 48280.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 47515.0}
[225586][PWM]: {'pwm.m1_pwm': 43713.0, 'pwm.m4_pwm': 43203.0, 'pwm.m2_pwm': 44599.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 42324.0}
[225636][PWM]: {'pwm.m1_pwm': 48003.0, 'pwm.m4_pwm': 49035.0, 'pwm.m2_pwm': 47391.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 47042.0}
[225686][PWM]: {'pwm.m1_pwm': 43970.0, 'pwm.m4_pwm': 42693.0, 'pwm.m2_pwm': 45015.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 41927.0}
[225736][PWM]: {'pwm.m1_pwm': 47215.0, 'pwm.m4_pwm': 49189.0, 'pwm.m2_pwm': 47868.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 48337.0}
[225786][PWM]: {'pwm.m1_pwm': 44717.0, 'pwm.m4_pwm': 43358.0, 'pwm.m2_pwm': 45323.0, 'pm.vbat': 3.4785923957824707, 'pwm.m3_pwm': 41985.0}
[225836][PWM]: {'pwm.m1_pwm': 46564.0, 'pwm.m4_pwm': 46855.0, 'pwm.m2_pwm': 48461.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 47088.0}
[225886][PWM]: {'pwm.m1_pwm': 43502.0, 'pwm.m4_pwm': 43352.0, 'pwm.m2_pwm': 43765.0, 'pm.vbat': 3.4944281578063965, 'pwm.m3_pwm': 41838.0}
[225936][PWM]: {'pwm.m1_pwm': 46445.0, 'pwm.m4_pwm': 46249.0, 'pwm.m2_pwm': 47599.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45767.0}
[225986][PWM]: {'pwm.m1_pwm': 44103.0, 'pwm.m4_pwm': 43495.0, 'pwm.m2_pwm': 44621.0, 'pm.vbat': 3.4838709831237793, 'pwm.m3_pwm': 42434.0}
[226036][PWM]: {'pwm.m1_pwm': 46804.0, 'pwm.m4_pwm': 47018.0, 'pwm.m2_pwm': 47187.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 45954.0}
[226086][PWM]: {'pwm.m1_pwm': 44571.0, 'pwm.m4_pwm': 43038.0, 'pwm.m2_pwm': 45959.0, 'pm.vbat': 3.462756633758545, 'pwm.m3_pwm': 42777.0}
[226136][PWM]: {'pwm.m1_pwm': 45640.0, 'pwm.m4_pwm': 47057.0, 'pwm.m2_pwm': 45910.0, 'pm.vbat': 3.489149570465088, 'pwm.m3_pwm': 45507.0}
[226186][PWM]: {'pwm.m1_pwm': 44161.0, 'pwm.m4_pwm': 44345.0, 'pwm.m2_pwm': 45877.0, 'pm.vbat': 3.473313808441162, 'pwm.m3_pwm': 44055.0}
[226236][PWM]: {'pwm.m1_pwm': 47179.0, 'pwm.m4_pwm': 47824.0, 'pwm.m2_pwm': 47128.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45719.0}
[226286][PWM]: {'pwm.m1_pwm': 43760.0, 'pwm.m4_pwm': 44448.0, 'pwm.m2_pwm': 46611.0, 'pm.vbat': 3.4680352210998535, 'pwm.m3_pwm': 45170.0}
