Wed Feb 21 06:23:35 2018
###Command: takeoff###
[154023][PWM]: {'pwm.m4_pwm': 46251.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 45734.0, 'pwm.m3_pwm': 44837.0, 'pwm.m1_pwm': 47003.0}
[154073][PWM]: {'pwm.m4_pwm': 43723.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 46372.0, 'pwm.m3_pwm': 44023.0, 'pwm.m1_pwm': 46274.0}
[154123][PWM]: {'pwm.m4_pwm': 46399.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47258.0, 'pwm.m3_pwm': 46446.0, 'pwm.m1_pwm': 47390.0}
[154173][PWM]: {'pwm.m4_pwm': 44568.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 45926.0, 'pwm.m3_pwm': 43276.0, 'pwm.m1_pwm': 48587.0}
[154223][PWM]: {'pwm.m4_pwm': 46536.0, 'pm.vbat': 3.489149570465088, 'pwm.m2_pwm': 46006.0, 'pwm.m3_pwm': 46179.0, 'pwm.m1_pwm': 48159.0}
[154273][PWM]: {'pwm.m4_pwm': 43654.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 46462.0, 'pwm.m3_pwm': 45036.0, 'pwm.m1_pwm': 45855.0}
[154323][PWM]: {'pwm.m4_pwm': 44840.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47420.0, 'pwm.m3_pwm': 44234.0, 'pwm.m1_pwm': 48458.0}
[154373][PWM]: {'pwm.m4_pwm': 45137.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 45011.0, 'pwm.m3_pwm': 44287.0, 'pwm.m1_pwm': 46692.0}
[154423][PWM]: {'pwm.m4_pwm': 44367.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 47140.0, 'pwm.m3_pwm': 44199.0, 'pwm.m1_pwm': 46155.0}
[154473][PWM]: {'pwm.m4_pwm': 45790.0, 'pm.vbat': 3.5102639198303223, 'pwm.m2_pwm': 45199.0, 'pwm.m3_pwm': 42155.0, 'pwm.m1_pwm': 45987.0}
[154523][PWM]: {'pwm.m4_pwm': 46647.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47709.0, 'pwm.m3_pwm': 43056.0, 'pwm.m1_pwm': 47014.0}
[154573][PWM]: {'pwm.m4_pwm': 45527.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 47852.0, 'pwm.m3_pwm': 42382.0, 'pwm.m1_pwm': 44916.0}
[154623][PWM]: {'pwm.m4_pwm': 35968.0, 'pm.vbat': 3.6263930797576904, 'pwm.m2_pwm': 28877.0, 'pwm.m3_pwm': 26774.0, 'pwm.m1_pwm': 31438.0}
[154673][PWM]: {'pwm.m4_pwm': 45489.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 44570.0, 'pwm.m3_pwm': 42012.0, 'pwm.m1_pwm': 44036.0}
[154723][PWM]: {'pwm.m4_pwm': 29380.0, 'pm.vbat': 3.6000001430511475, 'pwm.m2_pwm': 38419.0, 'pwm.m3_pwm': 33326.0, 'pwm.m1_pwm': 30812.0}
[154773][PWM]: {'pwm.m4_pwm': 46432.0, 'pm.vbat': 3.526099681854248, 'pwm.m2_pwm': 42132.0, 'pwm.m3_pwm': 39469.0, 'pwm.m1_pwm': 45318.0}
[154823][PWM]: {'pwm.m4_pwm': 37429.0, 'pm.vbat': 3.5841643810272217, 'pwm.m2_pwm': 38107.0, 'pwm.m3_pwm': 37106.0, 'pwm.m1_pwm': 34818.0}
[154873][PWM]: {'pwm.m4_pwm': 45722.0, 'pm.vbat': 3.5049853324890137, 'pwm.m2_pwm': 47802.0, 'pwm.m3_pwm': 43510.0, 'pwm.m1_pwm': 47338.0}
[154923][PWM]: {'pwm.m4_pwm': 39680.0, 'pm.vbat': 3.541935443878174, 'pwm.m2_pwm': 42683.0, 'pwm.m3_pwm': 41503.0, 'pwm.m1_pwm': 37535.0}
[154973][PWM]: {'pwm.m4_pwm': 49418.0, 'pm.vbat': 3.473313808441162, 'pwm.m2_pwm': 47320.0, 'pwm.m3_pwm': 45074.0, 'pwm.m1_pwm': 50036.0}
[155023][PWM]: {'pwm.m4_pwm': 40812.0, 'pm.vbat': 3.5313782691955566, 'pwm.m2_pwm': 42410.0, 'pwm.m3_pwm': 41348.0, 'pwm.m1_pwm': 41270.0}
[155073][PWM]: {'pwm.m4_pwm': 47394.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47210.0, 'pwm.m3_pwm': 46781.0, 'pwm.m1_pwm': 48996.0}
[155123][PWM]: {'pwm.m4_pwm': 38348.0, 'pm.vbat': 3.5366568565368652, 'pwm.m2_pwm': 43232.0, 'pwm.m3_pwm': 41702.0, 'pwm.m1_pwm': 42721.0}
[155173][PWM]: {'pwm.m4_pwm': 46977.0, 'pm.vbat': 3.499706745147705, 'pwm.m2_pwm': 45684.0, 'pwm.m3_pwm': 45948.0, 'pwm.m1_pwm': 48992.0}
[155223][PWM]: {'pwm.m4_pwm': 41060.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 43994.0, 'pwm.m3_pwm': 44516.0, 'pwm.m1_pwm': 42226.0}
[155273][PWM]: {'pwm.m4_pwm': 47443.0, 'pm.vbat': 3.4680352210998535, 'pwm.m2_pwm': 49009.0, 'pwm.m3_pwm': 46719.0, 'pwm.m1_pwm': 51267.0}
[155323][PWM]: {'pwm.m4_pwm': 40954.0, 'pm.vbat': 3.515542507171631, 'pwm.m2_pwm': 44015.0, 'pwm.m3_pwm': 44782.0, 'pwm.m1_pwm': 42411.0}
[155373][PWM]: {'pwm.m4_pwm': 46267.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47707.0, 'pwm.m3_pwm': 46437.0, 'pwm.m1_pwm': 49846.0}
[155423][PWM]: {'pwm.m4_pwm': 42311.0, 'pm.vbat': 3.4680352210998535, 'pwm.m2_pwm': 44828.0, 'pwm.m3_pwm': 44603.0, 'pwm.m1_pwm': 43710.0}
[155473][PWM]: {'pwm.m4_pwm': 48056.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 48170.0, 'pwm.m3_pwm': 47160.0, 'pwm.m1_pwm': 49087.0}
[155523][PWM]: {'pwm.m4_pwm': 42461.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 44324.0, 'pwm.m3_pwm': 42320.0, 'pwm.m1_pwm': 43897.0}
[155573][PWM]: {'pwm.m4_pwm': 47661.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48722.0, 'pwm.m3_pwm': 47269.0, 'pwm.m1_pwm': 48278.0}
[155623][PWM]: {'pwm.m4_pwm': 41784.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 43871.0, 'pwm.m3_pwm': 41792.0, 'pwm.m1_pwm': 42976.0}
[155673][PWM]: {'pwm.m4_pwm': 46898.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47219.0, 'pwm.m3_pwm': 45952.0, 'pwm.m1_pwm': 47230.0}
[155723][PWM]: {'pwm.m4_pwm': 42508.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 43166.0, 'pwm.m3_pwm': 40269.0, 'pwm.m1_pwm': 44410.0}
[155773][PWM]: {'pwm.m4_pwm': 46449.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47265.0, 'pwm.m3_pwm': 45833.0, 'pwm.m1_pwm': 46617.0}
[155823][PWM]: {'pwm.m4_pwm': 41871.0, 'pm.vbat': 3.515542507171631, 'pwm.m2_pwm': 44616.0, 'pwm.m3_pwm': 40644.0, 'pwm.m1_pwm': 43869.0}
[155873][PWM]: {'pwm.m4_pwm': 46248.0, 'pm.vbat': 3.4944281578063965, 'pwm.m2_pwm': 47264.0, 'pwm.m3_pwm': 47196.0, 'pwm.m1_pwm': 44877.0}
[155923][PWM]: {'pwm.m4_pwm': 42233.0, 'pm.vbat': 3.5208210945129395, 'pwm.m2_pwm': 44584.0, 'pwm.m3_pwm': 41648.0, 'pwm.m1_pwm': 43397.0}
