Wed Feb 21 12:53:39 2018
###Command: takeoff###
[123500][PWM]: {'pwm.m3_pwm': 39818.0, 'pwm.m1_pwm': 43667.0, 'pwm.m4_pwm': 44729.0, 'pwm.m2_pwm': 40571.0, 'pm.vbat': 3.4680352210998535}
[123550][PWM]: {'pwm.m3_pwm': 52250.0, 'pwm.m1_pwm': 47564.0, 'pwm.m4_pwm': 47831.0, 'pwm.m2_pwm': 52396.0, 'pm.vbat': 3.394134998321533}
[123600][PWM]: {'pwm.m3_pwm': 43510.0, 'pwm.m1_pwm': 40484.0, 'pwm.m4_pwm': 43401.0, 'pwm.m2_pwm': 41046.0, 'pm.vbat': 3.4680352210998535}
[123650][PWM]: {'pwm.m3_pwm': 49471.0, 'pwm.m1_pwm': 50986.0, 'pwm.m4_pwm': 50125.0, 'pwm.m2_pwm': 49674.0, 'pm.vbat': 3.3888564109802246}
[123700][PWM]: {'pwm.m3_pwm': 45556.0, 'pwm.m1_pwm': 36565.0, 'pwm.m4_pwm': 40318.0, 'pwm.m2_pwm': 45631.0, 'pm.vbat': 3.462756633758545}
[123750][PWM]: {'pwm.m3_pwm': 48227.0, 'pwm.m1_pwm': 49782.0, 'pwm.m4_pwm': 50886.0, 'pwm.m2_pwm': 48699.0, 'pm.vbat': 3.399413585662842}
[123800][PWM]: {'pwm.m3_pwm': 45742.0, 'pwm.m1_pwm': 37559.0, 'pwm.m4_pwm': 39371.0, 'pwm.m2_pwm': 45390.0, 'pm.vbat': 3.4574780464172363}
[123850][PWM]: {'pwm.m3_pwm': 46418.0, 'pwm.m1_pwm': 49554.0, 'pwm.m4_pwm': 49494.0, 'pwm.m2_pwm': 49260.0, 'pm.vbat': 3.409970760345459}
[123900][PWM]: {'pwm.m3_pwm': 48811.0, 'pwm.m1_pwm': 32597.0, 'pwm.m4_pwm': 40602.0, 'pwm.m2_pwm': 46204.0, 'pm.vbat': 3.4574780464172363}
[123950][PWM]: {'pwm.m3_pwm': 44084.0, 'pwm.m1_pwm': 53682.0, 'pwm.m4_pwm': 50161.0, 'pwm.m2_pwm': 48531.0, 'pm.vbat': 3.394134998321533}
