Wed Feb 21 12:55:43 2018
###Command: takeoff###
[247644][PWM]: {'pwm.m4_pwm': 42348.0, 'pwm.m3_pwm': 36037.0, 'pm.vbat': 3.446920871734619, 'pwm.m1_pwm': 47550.0, 'pwm.m2_pwm': 43317.0}
[247694][PWM]: {'pwm.m4_pwm': 51975.0, 'pwm.m3_pwm': 52083.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 52733.0, 'pwm.m2_pwm': 51675.0}
[247744][PWM]: {'pwm.m4_pwm': 41992.0, 'pwm.m3_pwm': 46548.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 38323.0, 'pwm.m2_pwm': 45205.0}
[247794][PWM]: {'pwm.m4_pwm': 50969.0, 'pwm.m3_pwm': 47816.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 54214.0, 'pwm.m2_pwm': 52355.0}
[247844][PWM]: {'pwm.m4_pwm': 42104.0, 'pwm.m3_pwm': 44048.0, 'pm.vbat': 3.4310851097106934, 'pwm.m1_pwm': 40578.0, 'pwm.m2_pwm': 43555.0}
[247894][PWM]: {'pwm.m4_pwm': 48691.0, 'pwm.m3_pwm': 50177.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 49676.0, 'pwm.m2_pwm': 51987.0}
[247944][PWM]: {'pwm.m4_pwm': 42137.0, 'pwm.m3_pwm': 40859.0, 'pm.vbat': 3.4574780464172363, 'pwm.m1_pwm': 41452.0, 'pwm.m2_pwm': 42176.0}
[247994][PWM]: {'pwm.m4_pwm': 50254.0, 'pwm.m3_pwm': 49536.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 50003.0, 'pwm.m2_pwm': 50938.0}
[248044][PWM]: {'pwm.m4_pwm': 39960.0, 'pwm.m3_pwm': 42311.0, 'pm.vbat': 3.4258065223693848, 'pwm.m1_pwm': 42095.0, 'pwm.m2_pwm': 46475.0}
[248094][PWM]: {'pwm.m4_pwm': 50928.0, 'pwm.m3_pwm': 48731.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 51064.0, 'pwm.m2_pwm': 49487.0}
