Wed Feb 21 06:10:04 2018
###Command: takeoff###
[280962][PWM]: {'pwm.m1_pwm': 39648.0, 'pm.vbat': 3.621114492416382, 'pwm.m2_pwm': 42756.0, 'pwm.m3_pwm': 39526.0, 'pwm.m4_pwm': 38992.0}
[281012][PWM]: {'pwm.m1_pwm': 48263.0, 'pm.vbat': 3.55249285697937, 'pwm.m2_pwm': 48336.0, 'pwm.m3_pwm': 46777.0, 'pwm.m4_pwm': 48787.0}
[281062][PWM]: {'pwm.m1_pwm': 39819.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 43009.0, 'pwm.m3_pwm': 40869.0, 'pwm.m4_pwm': 40314.0}
[281112][PWM]: {'pwm.m1_pwm': 49659.0, 'pm.vbat': 3.5472142696380615, 'pwm.m2_pwm': 47480.0, 'pwm.m3_pwm': 45218.0, 'pwm.m4_pwm': 49379.0}
[281162][PWM]: {'pwm.m1_pwm': 39333.0, 'pm.vbat': 3.6105573177337646, 'pwm.m2_pwm': 43602.0, 'pwm.m3_pwm': 41663.0, 'pwm.m4_pwm': 40347.0}
[281212][PWM]: {'pwm.m1_pwm': 49247.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 48170.0, 'pwm.m3_pwm': 45271.0, 'pwm.m4_pwm': 48841.0}
[281262][PWM]: {'pwm.m1_pwm': 38199.0, 'pm.vbat': 3.6158359050750732, 'pwm.m2_pwm': 43364.0, 'pwm.m3_pwm': 41909.0, 'pwm.m4_pwm': 39829.0}
[281312][PWM]: {'pwm.m1_pwm': 48691.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 47484.0, 'pwm.m3_pwm': 44036.0, 'pwm.m4_pwm': 48177.0}
[281362][PWM]: {'pwm.m1_pwm': 38743.0, 'pm.vbat': 3.621114492416382, 'pwm.m2_pwm': 42157.0, 'pwm.m3_pwm': 39442.0, 'pwm.m4_pwm': 40338.0}
[281412][PWM]: {'pwm.m1_pwm': 48204.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 47232.0, 'pwm.m3_pwm': 42920.0, 'pwm.m4_pwm': 46662.0}
