Wed Feb 21 06:10:38 2018
###Command: takeoff###
[315435][PWM]: {'pwm.m4_pwm': 40726.0, 'pwm.m2_pwm': 39354.0, 'pm.vbat': 3.6158359050750732, 'pwm.m1_pwm': 39859.0, 'pwm.m3_pwm': 38254.0}
[315485][PWM]: {'pwm.m4_pwm': 40815.0, 'pwm.m2_pwm': 41299.0, 'pm.vbat': 3.6158359050750732, 'pwm.m1_pwm': 40435.0, 'pwm.m3_pwm': 39900.0}
[315535][PWM]: {'pwm.m4_pwm': 40674.0, 'pwm.m2_pwm': 44849.0, 'pm.vbat': 3.526099681854248, 'pwm.m1_pwm': 40614.0, 'pwm.m3_pwm': 43351.0}
[315585][PWM]: {'pwm.m4_pwm': 49153.0, 'pwm.m2_pwm': 48076.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 49526.0, 'pwm.m3_pwm': 46423.0}
[315635][PWM]: {'pwm.m4_pwm': 43259.0, 'pwm.m2_pwm': 42036.0, 'pm.vbat': 3.5894429683685303, 'pwm.m1_pwm': 43021.0, 'pwm.m3_pwm': 40959.0}
[315685][PWM]: {'pwm.m4_pwm': 49476.0, 'pwm.m2_pwm': 48196.0, 'pm.vbat': 3.5313782691955566, 'pwm.m1_pwm': 49614.0, 'pwm.m3_pwm': 47095.0}
[315735][PWM]: {'pwm.m4_pwm': 41847.0, 'pwm.m2_pwm': 43374.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 42952.0, 'pwm.m3_pwm': 41457.0}
[315785][PWM]: {'pwm.m4_pwm': 50121.0, 'pwm.m2_pwm': 47789.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 50286.0, 'pwm.m3_pwm': 47058.0}
[315835][PWM]: {'pwm.m4_pwm': 41016.0, 'pwm.m2_pwm': 43366.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 42166.0, 'pwm.m3_pwm': 41741.0}
[315885][PWM]: {'pwm.m4_pwm': 49171.0, 'pwm.m2_pwm': 48192.0, 'pm.vbat': 3.5208210945129395, 'pwm.m1_pwm': 49397.0, 'pwm.m3_pwm': 47633.0}
[315935][PWM]: {'pwm.m4_pwm': 39808.0, 'pwm.m2_pwm': 43529.0, 'pm.vbat': 3.5894429683685303, 'pwm.m1_pwm': 41084.0, 'pwm.m3_pwm': 42022.0}
[315985][PWM]: {'pwm.m4_pwm': 48275.0, 'pwm.m2_pwm': 47367.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 49508.0, 'pwm.m3_pwm': 46128.0}
[316035][PWM]: {'pwm.m4_pwm': 37858.0, 'pwm.m2_pwm': 43171.0, 'pm.vbat': 3.594721555709839, 'pwm.m1_pwm': 41740.0, 'pwm.m3_pwm': 40375.0}
[316085][PWM]: {'pwm.m4_pwm': 46883.0, 'pwm.m2_pwm': 47449.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 48602.0, 'pwm.m3_pwm': 46808.0}
[316135][PWM]: {'pwm.m4_pwm': 39228.0, 'pwm.m2_pwm': 41467.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 40905.0, 'pwm.m3_pwm': 42026.0}
[316185][PWM]: {'pwm.m4_pwm': 45224.0, 'pwm.m2_pwm': 45440.0, 'pm.vbat': 3.6105573177337646, 'pwm.m1_pwm': 47472.0, 'pwm.m3_pwm': 45495.0}
[316235][PWM]: {'pwm.m4_pwm': 38914.0, 'pwm.m2_pwm': 41838.0, 'pm.vbat': 3.594721555709839, 'pwm.m1_pwm': 42929.0, 'pwm.m3_pwm': 40605.0}
[316285][PWM]: {'pwm.m4_pwm': 45940.0, 'pwm.m2_pwm': 46214.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 48011.0, 'pwm.m3_pwm': 46250.0}
[316335][PWM]: {'pwm.m4_pwm': 40964.0, 'pwm.m2_pwm': 41113.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 42573.0, 'pwm.m3_pwm': 41969.0}
[316385][PWM]: {'pwm.m4_pwm': 46218.0, 'pwm.m2_pwm': 46618.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 48170.0, 'pwm.m3_pwm': 46671.0}
[316435][PWM]: {'pwm.m4_pwm': 39019.0, 'pwm.m2_pwm': 43359.0, 'pm.vbat': 3.5736072063446045, 'pwm.m1_pwm': 43945.0, 'pwm.m3_pwm': 41022.0}
[316485][PWM]: {'pwm.m4_pwm': 46427.0, 'pwm.m2_pwm': 46289.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 47753.0, 'pwm.m3_pwm': 47020.0}
[316535][PWM]: {'pwm.m4_pwm': 42187.0, 'pwm.m2_pwm': 39935.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 42789.0, 'pwm.m3_pwm': 41984.0}
[316585][PWM]: {'pwm.m4_pwm': 45863.0, 'pwm.m2_pwm': 46526.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 47876.0, 'pwm.m3_pwm': 46172.0}
[316635][PWM]: {'pwm.m4_pwm': 41544.0, 'pwm.m2_pwm': 42813.0, 'pm.vbat': 3.5736072063446045, 'pwm.m1_pwm': 43665.0, 'pwm.m3_pwm': 42084.0}
[316685][PWM]: {'pwm.m4_pwm': 45466.0, 'pwm.m2_pwm': 46834.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46932.0, 'pwm.m3_pwm': 46377.0}
[316735][PWM]: {'pwm.m4_pwm': 46341.0, 'pwm.m2_pwm': 47040.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 47746.0, 'pwm.m3_pwm': 46117.0}
[316785][PWM]: {'pwm.m4_pwm': 45814.0, 'pwm.m2_pwm': 47028.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 47023.0, 'pwm.m3_pwm': 46302.0}
[316835][PWM]: {'pwm.m4_pwm': 41468.0, 'pwm.m2_pwm': 41243.0, 'pm.vbat': 3.578885793685913, 'pwm.m1_pwm': 42792.0, 'pwm.m3_pwm': 40249.0}
[316885][PWM]: {'pwm.m4_pwm': 43401.0, 'pwm.m2_pwm': 45382.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 44457.0, 'pwm.m3_pwm': 44777.0}
[316935][PWM]: {'pwm.m4_pwm': 45007.0, 'pwm.m2_pwm': 44880.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 46016.0, 'pwm.m3_pwm': 44010.0}
[316985][PWM]: {'pwm.m4_pwm': 44521.0, 'pwm.m2_pwm': 45684.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 45824.0, 'pwm.m3_pwm': 44615.0}
[317035][PWM]: {'pwm.m4_pwm': 45337.0, 'pwm.m2_pwm': 45828.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46296.0, 'pwm.m3_pwm': 45234.0}
[317085][PWM]: {'pwm.m4_pwm': 42209.0, 'pwm.m2_pwm': 40735.0, 'pm.vbat': 3.5894429683685303, 'pwm.m1_pwm': 42177.0, 'pwm.m3_pwm': 41452.0}
[317135][PWM]: {'pwm.m4_pwm': 40003.0, 'pwm.m2_pwm': 42808.0, 'pm.vbat': 3.594721555709839, 'pwm.m1_pwm': 42002.0, 'pwm.m3_pwm': 41970.0}
[317185][PWM]: {'pwm.m4_pwm': 41878.0, 'pwm.m2_pwm': 42354.0, 'pm.vbat': 3.568328619003296, 'pwm.m1_pwm': 42004.0, 'pwm.m3_pwm': 43037.0}
[317235][PWM]: {'pwm.m4_pwm': 42011.0, 'pwm.m2_pwm': 43032.0, 'pm.vbat': 3.578885793685913, 'pwm.m1_pwm': 44602.0, 'pwm.m3_pwm': 41382.0}
[317285][PWM]: {'pwm.m4_pwm': 44083.0, 'pwm.m2_pwm': 46161.0, 'pm.vbat': 3.5736072063446045, 'pwm.m1_pwm': 45712.0, 'pwm.m3_pwm': 45697.0}
[317335][PWM]: {'pwm.m4_pwm': 45551.0, 'pwm.m2_pwm': 46093.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 47324.0, 'pwm.m3_pwm': 45638.0}
[317385][PWM]: {'pwm.m4_pwm': 39506.0, 'pwm.m2_pwm': 51226.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 51940.0, 'pwm.m3_pwm': 40625.0}
[317435][PWM]: {'pwm.m4_pwm': 45156.0, 'pwm.m2_pwm': 45951.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 47287.0, 'pwm.m3_pwm': 46115.0}
[317485][PWM]: {'pwm.m4_pwm': 45433.0, 'pwm.m2_pwm': 44901.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 46974.0, 'pwm.m3_pwm': 46185.0}
[317535][PWM]: {'pwm.m4_pwm': 43962.0, 'pwm.m2_pwm': 45578.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 47151.0, 'pwm.m3_pwm': 45411.0}
[317585][PWM]: {'pwm.m4_pwm': 43977.0, 'pwm.m2_pwm': 44340.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46178.0, 'pwm.m3_pwm': 45298.0}
[317635][PWM]: {'pwm.m4_pwm': 41135.0, 'pwm.m2_pwm': 41395.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 44424.0, 'pwm.m3_pwm': 41601.0}
[317685][PWM]: {'pwm.m4_pwm': 40053.0, 'pwm.m2_pwm': 41972.0, 'pm.vbat': 3.5841643810272217, 'pwm.m1_pwm': 43179.0, 'pwm.m3_pwm': 42260.0}
