time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 43099, 44524, 46492, 45402, 3.27800607681274, 1.49734575552944, 1.60298445444032, 1.75432058136259, 1.6697250167022, 6.52437580803455
50, 40851, 39477, 41138, 42244, 3.39413499832153, 1.33750981043541, 1.24396782710455, 1.35744809472012, 1.43556639813114, 5.37449213039121
100, 52833, 50509, 51928, 52038, 3.3096776008606, 2.28397552170595, 2.08250482872791, 2.20452113670993, 2.21411080326294, 8.78511229040673
150, 47637, 45027, 58921, 44253, 3.35190629959106, 1.84524634217198, 1.64106616200685, 2.85094498569263, 1.58263838193471, 7.91989587180616
200, 57167, 60950, 60825, 51633, 3.26217031478882, 2.68186878855746, 3.05220278029232, 3.03962959060842, 2.17889624026718, 10.9525973997254
250, 56393, 39228, 60364, 40466, 3.29384183883667, 2.60872131548834, 1.227355779278, 2.9934568866931, 1.31097959317228, 8.14051357463172
300, 49635, 42378, 0, 47437, 3.51026391983032, 2.00892166053805, 1.44516892044368, 0.0248703, 1.82921253526881, 5.30817341625054
350, 50695, 49330, 56861, 35929, 3.39413499832153, 2.0983192846172, 1.98352667596979, 2.65284249544299, 1.01720914355428, 7.75189759958426
400, 15577, 36702, 41873, 26698, 3.55777144432068, 0.150213928658243, 1.06478047285752, 1.40913557625133, 0.530101741472293, 3.15423171923939
450, 55563, 51180, 46431, 53278, 3.34662771224976, 2.53128417668894, 2.13981065895311, 1.74953563268128, 2.32350850411885, 8.74413897244218
500, 36172, 33366, 38454, 35025, 3.51026391983032, 1.03205287700298, 0.866875662646113, 1.17638762583908, 0.962882923712979, 4.03819908920116
550, 38701, 54543, 57169, 56237, 3.34662771224976, 1.19254244799854, 2.43755040236188, 2.68205896455439, 2.5940875047268, 8.90623931964161
600, 42008, 35922, 33442, 39659, 3.51026391983032, 1.41872683663808, 1.01678305389174, 0.871168861213521, 1.25617610451082, 4.56285485625416
650, 52585, 54876, 56751, 55151, 3.32023477554321, 2.26207627133969, 2.46797774835597, 2.64244253594306, 2.49323270994072, 9.86572926557946
700, 27860, 39153, 41357, 44720, 3.48387098312378, 0.583049902759723, 1.222372660659, 1.3727547788881, 1.61777441347532, 4.79595175578214
750, 51759, 53685, 51959, 50950, 3.3730206489563, 2.18982455289226, 2.35993253053225, 2.20722177736616, 2.12008847085582, 8.8770673316465
800, 39234, 38360, 38897, 39257, 3.47331380844116, 1.22775483918184, 1.17026682497811, 1.20543522375485, 1.22928513195432, 4.83274201986912
850, 47920, 51182, 53901, 52386, 3.39413499832153, 1.86804345732576, 2.13998251870359, 2.37936653598414, 2.24457266776407, 8.63196517977757
900, 41932, 40790, 37090, 35448, 3.4944281578064, 1.41332359084034, 1.33328978872454, 1.08904516387685, 0.988127402692793, 4.82378594613452
950, 51055, 49269, 52293, 52661, 3.37829923629761, 2.12908182265891, 1.97846532049848, 2.23641361484186, 2.26877723099404, 8.61273798899329
1000, 40703, 39784, 41457, 36625, 3.47331380844116, 1.32728183469917, 1.26459322829831, 1.37977071261793, 1.0599957508034, 5.03164152641881
1050, 50820, 52599, 50500, 49368, 3.38885641098022, 2.10897773592822, 2.26330998756688, 2.0817409890775, 1.98668262592813, 8.44071133850073
1100, 38038, 38049, 42013, 44345, 3.45747804641724, 1.14941360159809, 1.15012307062964, 1.41908264935872, 1.58953208177084, 5.30815140335729
1150, 48507, 52259, 53959, 49298, 3.39413499832153, 1.91573665726782, 2.23343408060315, 2.38459710865673, 1.98087080483656, 8.51463865136427
1200, 42093, 42546, 40138, 40782, 3.46803522109985, 1.42478129282232, 1.45724988934625, 1.28857312574178, 1.33273680469728, 5.50334111260764
