time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 48823, 43963, 41028, 46534, 3.23577737808228, 1.9416383459454, 1.5609988557498, 1.34978998821217, 1.75761862182248, 6.61004581172986
50, 44481, 45194, 44743, 43796, 3.33607053756714, 1.59974810358279, 1.65380068094717, 1.61951407726465, 1.54859997430673, 6.42166283610133
100, 41630, 42059, 42887, 41941, 3.36774206161499, 1.39194758966625, 1.42235807230709, 1.48191481592213, 1.4139629485168, 5.71018342641226
150, 45517, 44702, 44457, 43186, 3.42580652236938, 1.67855948643086, 1.61641353902814, 1.59794308094527, 1.50369969792917, 6.39661580433344
200, 45638, 46958, 45760, 43162, 3.39941358566284, 1.68787804057695, 1.79107214213834, 1.69729762816986, 1.50194564111388, 6.67819345199903
250, 46053, 47508, 50191, 47906, 3.39413499832153, 1.72001848682615, 1.83489720770657, 2.055592955059, 1.86691267718304, 7.47742132677476
300, 41336, 50508, 48366, 37904, 3.39941358566284, 1.37128354916529, 2.08241995138082, 1.90423046471941, 1.14078751184954, 6.49872147711506
350, 52743, 49899, 48867, 50636, 3.40469217300415, 2.27601722715355, 2.03102142215276, 1.94525748378032, 2.09329699832655, 8.34559313141319
400, 51841, 49754, 52101, 51899, 3.36774206161499, 2.19694989488662, 2.01886969329438, 2.21961152755247, 2.20199608253582, 8.6374271982693
450, 50342, 49268, 41073, 41717, 3.35718488693237, 2.06835206335926, 1.97838239648915, 1.35292040905169, 1.39809003509804, 6.79774490399814
500, 42006, 41614, 49663, 49387, 3.40469217300415, 1.41858452316361, 1.39081931475346, 2.0112603644586, 1.98826145695276, 6.80892565932843
550, 39954, 44690, 43750, 41022, 3.41524934768677, 1.27608270853376, 1.61550658287533, 1.54519274628906, 1.34937285418698, 5.78615489188514
600, 44392, 46651, 39779, 39280, 3.43108510971069, 1.59305920203, 1.76682100216511, 1.26425603837236, 1.2308163178875, 5.85495256045497
650, 42272, 41313, 42095, 45522, 3.44164228439331, 1.43757043777122, 1.36967304546396, 1.42492389490553, 1.67894408046332, 5.91111145860403
700, 43509, 48767, 46375, 44323, 3.40469217300415, 1.52739859546851, 1.93703661314521, 1.74514817396254, 1.58788232964271, 6.79746571221897
750, 46374, 48325, 44977, 46279, 3.39941358566284, 1.74506987244058, 1.90089062887764, 1.63726225600959, 1.73763858313965, 7.02086134046747
800, 46987, 48425, 48582, 50570, 3.37829923629761, 1.79337079788185, 1.90904126460983, 1.92186985312195, 2.08768531285314, 7.71196722846677
850, 48338, 51634, 47250, 47710, 3.36774206161499, 1.90194931152523, 2.17898287564081, 1.81427886844969, 1.85111462169721, 7.74632567731294
900, 49325, 51605, 48900, 50939, 3.35190629959106, 1.98311158936435, 2.17647108186878, 1.94797385239878, 2.11914730779583, 8.22670383142773
950, 46694, 49857, 47507, 49154, 3.3730206489563, 1.77020861191377, 2.02749820252804, 1.83481708586759, 1.96893943124182, 7.60146333155122
1000, 47131, 50755, 48515, 48181, 3.36774206161499, 1.80480481367191, 2.10343228747852, 1.91639043879201, 1.88918168281289, 7.71380922275534
1050, 46293, 48786, 47594, 47946, 3.38357782363892, 1.73873280577381, 1.93859735753605, 1.84179367258115, 1.87014430760193, 7.38926814349295
1100, 47464, 50090, 48599, 48629, 3.3730206489563, 1.83137336111172, 2.04707872075551, 1.92326128707709, 1.92571787897021, 7.72743124791452
1150, 46529, 49764, 47781, 46566, 3.38357782363892, 1.75722584892851, 2.01970667965669, 1.85683029776506, 1.76013332197863, 7.39389614832889
1200, 38874, 41159, 24058, 22198, 3.51554250717163, 1.2039189277605, 1.35891239216274, 0.418976835130249, 0.348415445853141, 3.33022360090663
1250, 46027, 46866, 47247, 47675, 3.39941358566284, 1.71799668806449, 1.78378879771719, 1.81403974767497, 1.84829999979526, 7.16412523325191
1300, 30120, 33135, 40339, 39714, 3.48387098312378, 0.69301262543512, 0.853888708615771, 1.30228251205297, 1.25987639828078, 4.10906024438464
1350, 47586, 49856, 46974, 47070, 3.38357782363892, 1.8411516417587, 2.02741435021893, 1.79234019894224, 1.79995717362029, 7.46086336454016
1400, 40448, 42659, 34920, 35982, 3.46275663375854, 1.3097452918059, 1.46540203242449, 0.956664582936611, 1.02043799159035, 4.75224989875735
1450, 45536, 50352, 50535, 48497, 3.3730206489563, 1.68002115944049, 2.06919830203131, 2.08471219032433, 1.9149195734607, 7.74885122525683
1500, 45072, 36797, 33061, 44522, 3.45219945907593, 1.64449315515503, 1.07069771713649, 0.849748168030516, 1.60283385956047, 5.16777289988251
1550, 49107, 52138, 50381, 49205, 3.35718488693237, 1.96505226761614, 2.22284498253155, 2.07165328216976, 1.97316137340437, 8.23271190572183
1600, 46247, 41745, 37673, 44988, 3.42580652236938, 1.73513869054733, 1.40006959059778, 1.12598896301189, 1.63809876626976, 5.89929601042676
1650, 49905, 52393, 51234, 50127, 3.35190629959106, 2.03152496608353, 2.24518733217819, 2.14445306432601, 2.05019593468399, 8.47136129727172
1700, 48358, 39108, 34100, 47012, 3.40469217300415, 1.90357857933593, 1.21938735085333, 0.90876108917502, 1.79535348181831, 5.82708050118259
1750, 35061, 52852, 57273, 44841, 3.36246347427368, 0.965019326316594, 2.28565720512424, 2.69195637030604, 1.6269362205813, 7.56956912232817
1800, 46305, 38647, 35774, 45121, 3.43108510971069, 1.73967096260052, 1.18900178991521, 1.00779407966473, 1.64822851576226, 5.58469534794273
1850, 44824, 52113, 51931, 45503, 3.3730206489563, 1.62564758409132, 2.22065998292025, 2.20478242378656, 1.6774828388418, 7.72857282963993
1900, 38399, 43926, 45318, 41473, 3.42052793502808, 1.17280448565288, 1.55824785628156, 1.66328557692517, 1.38089480739811, 5.77523272625772
1950, 42549, 51206, 54395, 46949, 3.3730206489563, 1.45746604518065, 2.14204532287589, 2.42408142156671, 1.7903590409094, 7.81395183053265
2000, 53744, 37608, 28270, 49270, 3.39413499832153, 2.36523378886909, 1.12184126801202, 0.602316169474594, 1.97854824608967, 6.06793947244537
2050, 41172, 52472, 55403, 46266, 3.35718488693237, 1.35981923067708, 2.25212951894517, 2.51647632688381, 1.73662280246502, 7.86504787897107
2100, 43132, 43650, 41945, 42495, 3.43108510971069, 1.49975440405583, 1.53779770654807, 1.41424715064031, 1.4535775171257, 5.90537677836991
2150, 48247, 50990, 49731, 47444, 3.36774206161499, 1.89454418349345, 2.12351247713546, 2.01694522303756, 1.82977263728968, 7.86477452095615
2200, 48139, 43685, 37888, 44855, 3.40997076034546, 1.88577279611019, 1.54038410362317, 1.13975957383082, 1.62799780412266, 6.19391427768684
2250, 45666, 51948, 52627, 47459, 3.36246347427368, 1.69003778126283, 2.20626331464743, 2.26577832929402, 1.83097312011277, 7.99305254531705
2300, 46951, 44008, 40598, 45302, 3.40997076034546, 1.79051749660359, 1.56434768856446, 1.32004772027408, 1.66206031589773, 6.33697322133986
2350, 47296, 51589, 51961, 48996, 3.35718488693237, 1.81794719379525, 2.17508582512165, 2.20739606350757, 1.95588583348248, 8.15631491590696
2400, 45077, 44713, 42095, 44489, 3.40997076034546, 1.64487413550439, 1.61724512175496, 1.42492389490553, 1.6003499868022, 6.28739313896708
2450, 48599, 51673, 50236, 48826, 3.35718488693237, 1.92326128707709, 2.18236286933319, 2.05939159063717, 1.941885007777, 8.10690075482444
2500, 44114, 44219, 42443, 44652, 3.41524934768677, 1.57224915622816, 1.58009421249035, 1.44983756687101, 1.61263610420231, 6.21481703979183
2550, 48134, 50525, 48788, 48250, 3.36774206161499, 1.885367163531, 2.08386307961325, 1.93876167974764, 1.89478809839594, 7.80278002128782
2600, 44508, 44912, 41951, 44112, 3.42052793502808, 1.60177987823215, 1.63232326131332, 1.41467350361917, 1.57209990167446, 6.2208765448391
2650, 47511, 50555, 49208, 48427, 3.37829923629761, 1.83513758282706, 2.08641088225389, 1.97340985114328, 1.90920443962606, 7.80416275585029
2700, 37080, 40255, 49310, 49705, 3.40997076034546, 1.08841654793008, 1.29654497111703, 1.98186656674359, 2.01477073944395, 6.38159882523465
2750, 49126, 51228, 47634, 48378, 3.36774206161499, 1.96662325301614, 2.14393701669851, 1.84500536228351, 1.90520848376958, 7.86077411576774
2800, 45711, 47078, 42605, 44641, 3.40469217300415, 1.6935114541605, 1.80059258942897, 1.46150368514087, 1.61180561569144, 6.56741334442177
2850, 49859, 52115, 48712, 49406, 3.35718488693237, 2.02766591187306, 2.22083474720448, 1.93252189907888, 1.98984085857706, 8.17086341673348
2900, 44512, 46189, 43115, 45262, 3.40469217300415, 1.60208098310536, 1.73061184805396, 1.49851336107965, 1.65899898238739, 6.49020517462635
2950, 48655, 50386, 48456, 49973, 3.36246347427368, 1.92784808184245, 2.07207668806739, 1.91157119239336, 2.03723575968925, 7.94873172199245
3000, 44420, 44981, 42921, 45923, 3.40997076034546, 1.5951621806784, 1.63756641877404, 1.48438459969061, 1.70992042148047, 6.42703362062352
3050, 48713, 50244, 47466, 49075, 3.36774206161499, 1.93260394192419, 2.06006723683054, 1.83153346871886, 1.96240768971402, 7.78661233718761
3100, 44028, 46935, 43487, 43806, 3.40469217300415, 1.5658371233596, 1.78925003098836, 1.52577898454473, 1.54934113531297, 6.43020727420567
