time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
0, 44020, 36084, 39033, 46345, 3.20410537719727, 1.56524127083055, 1.02666562186807, 1.21441943989903, 1.74279982985752, 5.54912616245517
50, 47523, 43667, 43928, 48171, 3.33079195022583, 1.83609922735743, 1.53905370541147, 1.55839650160534, 1.88836978814176, 6.82191922251599
100, 46452, 45364, 43947, 46422, 3.3149561882019, 1.75118223315262, 1.66681051791414, 1.55980895908856, 1.7488301643875, 6.72663187454283
150, 45845, 47220, 46162, 46045, 3.34134912490845, 1.70387470166457, 1.81188831010538, 1.72850637749305, 1.71939627853281, 6.96366566779582
200, 49778, 50688, 48963, 49669, 3.3096776008606, 2.02087872542985, 2.09772313496167, 1.95316444214215, 2.0117616762292, 8.08352797876287
250, 49460, 52884, 47426, 48820, 3.32551336288452, 1.99433279898231, 2.28849077369342, 1.82833253348605, 1.94139169839329, 8.05254780455507
300, 52483, 57407, 53736, 49861, 3.28328466415405, 2.25309691881771, 2.70473266161703, 2.36451466114412, 2.02783362752043, 9.35017786909929
350, 45598, 54235, 47038, 51291, 3.28328466415405, 1.68479490067636, 2.40955799550965, 1.79741653780775, 2.14935831915883, 8.04112775315259
400, 42911, 52055, 45469, 45706, 3.33607053756714, 1.48365799475212, 2.21559451881238, 1.67486944682548, 1.69312532851525, 7.06724728890524
450, 42618, 41177, 42894, 49235, 3.39413499832153, 1.46244173575348, 1.36016808978316, 1.48242314492608, 1.9756467916768, 6.28067976213953
500, 49884, 50516, 41896, 47434, 3.36774206161499, 2.02976281041867, 2.08309901407971, 1.41076750475681, 1.82897251556572, 7.35260184482091
550, 42951, 50420, 51883, 45363, 3.34134912490845, 1.48656540410861, 2.07495688899902, 2.20060350857862, 1.66673385223163, 7.42885965391789
600, 31447, 22976, 23586, 32382, 3.51026391983032, 0.761836826201853, 0.377146731337541, 0.400462186020988, 0.812204939995716, 2.3516506835561
650, 46682, 46821, 46582, 48090, 3.3730206489563, 1.76926293308987, 1.78023124669106, 1.76139129055839, 1.88179931525137, 7.19268478559069
700, 28993, 35927, 35309, 31432, 3.47859239578247, 0.637029545034319, 1.01708739503151, 0.979797770772348, 0.761041380249216, 3.39495609108739
750, 49245, 50638, 47226, 50742, 3.34134912490845, 1.97647558089363, 2.09346715599462, 1.81236630631948, 2.10232399168374, 7.98463303489147
800, 36308, 33913, 36148, 42612, 3.44164228439331, 1.04040484996547, 0.898000680836558, 1.03058230340067, 1.46200875461019, 4.43099658881289
850, 49485, 53646, 49628, 49901, 3.32023477554321, 1.9964139612072, 2.35643124193333, 2.00833717785007, 2.03118926382915, 8.39237164481976
900, 41059, 40140, 34400, 39302, 3.43108510971069, 1.35194613811207, 1.28870920356409, 0.92615109268608, 1.23228176615514, 4.79908820051738
950, 49590, 50602, 51303, 52435, 3.3149561882019, 2.00516562115142, 2.09040527723801, 2.15039165043752, 2.24887691206909, 8.49483946089604
1000, 37553, 40670, 41598, 39516, 3.40997076034546, 1.11833730942131, 1.32500626776407, 1.38969146564942, 1.24657918717382, 5.07961423000862
1050, 51842, 49842, 48239, 51471, 3.33607053756714, 2.19703685382475, 2.02624058333622, 1.89389381383476, 2.16488187052569, 8.28205312152141
1100, 40607, 40562, 40642, 40495, 3.41524934768677, 1.32066706417708, 1.31757170078165, 1.32307691273206, 1.31296933166551, 5.2742850093563
1150, 50228, 50727, 50260, 50632, 3.32551336288452, 2.05871604502459, 2.10104551774518, 2.06141883093787, 2.09295670179834, 8.31413709550598
1200, 41726, 38165, 39041, 42669, 3.42052793502808, 1.39872617868584, 1.15761727270277, 1.21494889735123, 1.46612447734087, 5.23741682608071
1250, 49373, 49337, 50806, 50620, 3.33607053756714, 1.98709805245132, 1.98410786362813, 2.10778277271285, 2.09193596268309, 8.1709246514754
1300, 44081, 43696, 37504, 40856, 3.39413499832153, 1.56978729333507, 1.54119738654056, 1.1152199490316, 1.3378559896737, 5.56406061858093
1350, 51162, 49600, 48189, 52549, 3.33607053756714, 2.13826420228448, 2.00600002037632, 1.88983131327804, 2.25890525017709, 8.29300078611594
1400, 39976, 43502, 41864, 45547, 3.3730206489563, 1.27757313378129, 1.52688317844915, 1.40849723464522, 1.68086765874898, 5.89382120562464
1450, 50616, 50636, 47275, 53641, 3.34134912490845, 2.09159576647008, 2.09329699832655, 1.81627210271638, 2.35598252764843, 8.35714739516145
1500, 40413, 45901, 42360, 40980, 3.38885641098022, 1.30734681565931, 1.70821422187768, 1.44387730080954, 1.34645459911069, 5.80589293745722
1550, 48122, 39157, 50274, 57554, 3.35190629959106, 1.88439380792543, 1.22263818711598, 2.06260180576038, 2.71877932555393, 7.88841312635572
1600, 46152, 52441, 37786, 32309, 3.37829923629761, 1.72772687233128, 2.24940421786651, 1.13321671921678, 0.80821692022447, 5.91856472963904
1650, 48676, 50847, 51725, 51228, 3.32551336288452, 1.92956941419894, 2.11128317424535, 2.18687320965046, 2.14393701669851, 8.37166281479326
1700, 46754, 41277, 38351, 46778, 3.36774206161499, 1.77494048167312, 1.36715402695307, 1.16968157770805, 1.77683485119891, 6.08861093753315
