Wed Feb 21 12:47:27 2018
###Command: takeoff###
[29969][PWM]: {'pwm.m2_pwm': 48031.0, 'pwm.m4_pwm': 46762.0, 'pwm.m1_pwm': 45461.0, 'pwm.m3_pwm': 46271.0, 'pm.vbat': 3.373020648956299}
[30019][PWM]: {'pwm.m2_pwm': 47255.0, 'pwm.m4_pwm': 45383.0, 'pwm.m1_pwm': 44654.0, 'pwm.m3_pwm': 43499.0, 'pm.vbat': 3.146040916442871}
[30069][PWM]: {'pwm.m2_pwm': 52447.0, 'pwm.m4_pwm': 47551.0, 'pwm.m1_pwm': 48899.0, 'pwm.m3_pwm': 48013.0, 'pm.vbat': 3.3255133628845215}
[30119][PWM]: {'pwm.m2_pwm': 45100.0, 'pwm.m4_pwm': 51569.0, 'pwm.m1_pwm': 45686.0, 'pwm.m3_pwm': 46537.0, 'pm.vbat': 3.1143693923950195}
[30169][PWM]: {'pwm.m2_pwm': 55776.0, 'pwm.m4_pwm': 42179.0, 'pwm.m1_pwm': 49428.0, 'pwm.m3_pwm': 47352.0, 'pm.vbat': 3.33079195022583}
[30219][PWM]: {'pwm.m2_pwm': 39871.0, 'pwm.m4_pwm': 54217.0, 'pwm.m1_pwm': 46262.0, 'pwm.m3_pwm': 44447.0, 'pm.vbat': 3.146040916442871}
[30269][PWM]: {'pwm.m2_pwm': 57148.0, 'pwm.m4_pwm': 38526.0, 'pwm.m1_pwm': 47585.0, 'pwm.m3_pwm': 49045.0, 'pm.vbat': 3.3255133628845215}
[30319][PWM]: {'pwm.m2_pwm': 41857.0, 'pwm.m4_pwm': 52663.0, 'pwm.m1_pwm': 48441.0, 'pwm.m3_pwm': 42238.0, 'pm.vbat': 3.135483741760254}
[30369][PWM]: {'pwm.m2_pwm': 55422.0, 'pwm.m4_pwm': 43004.0, 'pwm.m1_pwm': 47622.0, 'pwm.m3_pwm': 50095.0, 'pm.vbat': 3.2991204261779785}
[30419][PWM]: {'pwm.m2_pwm': 43270.0, 'pwm.m4_pwm': 51014.0, 'pwm.m1_pwm': 49332.0, 'pwm.m3_pwm': 41317.0, 'pm.vbat': 3.119647979736328}
[30469][PWM]: {'pwm.m2_pwm': 53234.0, 'pwm.m4_pwm': 43009.0, 'pwm.m1_pwm': 44298.0, 'pwm.m3_pwm': 50549.0, 'pm.vbat': 3.320234775543213}
[30519][PWM]: {'pwm.m2_pwm': 42391.0, 'pwm.m4_pwm': 50034.0, 'pwm.m1_pwm': 50377.0, 'pwm.m3_pwm': 38413.0, 'pm.vbat': 3.1513195037841797}
[30569][PWM]: {'pwm.m2_pwm': 52805.0, 'pwm.m4_pwm': 43562.0, 'pwm.m1_pwm': 44342.0, 'pwm.m3_pwm': 50407.0, 'pm.vbat': 3.3255133628845215}
[30619][PWM]: {'pwm.m2_pwm': 44462.0, 'pwm.m4_pwm': 49096.0, 'pwm.m1_pwm': 50345.0, 'pwm.m3_pwm': 39508.0, 'pm.vbat': 3.1249265670776367}
[30669][PWM]: {'pwm.m2_pwm': 51650.0, 'pwm.m4_pwm': 45452.0, 'pwm.m1_pwm': 44477.0, 'pwm.m3_pwm': 50592.0, 'pm.vbat': 3.3149561882019043}
[30719][PWM]: {'pwm.m2_pwm': 46298.0, 'pwm.m4_pwm': 48811.0, 'pwm.m1_pwm': 50035.0, 'pwm.m3_pwm': 41071.0, 'pm.vbat': 3.1249265670776367}
[30769][PWM]: {'pwm.m2_pwm': 51350.0, 'pwm.m4_pwm': 46454.0, 'pwm.m1_pwm': 45250.0, 'pwm.m3_pwm': 49936.0, 'pm.vbat': 3.304399013519287}
[30819][PWM]: {'pwm.m2_pwm': 46983.0, 'pwm.m4_pwm': 48349.0, 'pwm.m1_pwm': 50113.0, 'pwm.m3_pwm': 40950.0, 'pm.vbat': 3.135483741760254}
[30869][PWM]: {'pwm.m2_pwm': 50285.0, 'pwm.m4_pwm': 48519.0, 'pwm.m1_pwm': 45877.0, 'pwm.m3_pwm': 49912.0, 'pm.vbat': 3.2991204261779785}
[30919][PWM]: {'pwm.m2_pwm': 48128.0, 'pwm.m4_pwm': 48198.0, 'pwm.m1_pwm': 49941.0, 'pwm.m3_pwm': 41924.0, 'pm.vbat': 3.1407623291015625}
[30969][PWM]: {'pwm.m2_pwm': 50874.0, 'pwm.m4_pwm': 49898.0, 'pwm.m1_pwm': 47128.0, 'pwm.m3_pwm': 50391.0, 'pm.vbat': 3.251613140106201}
[31019][PWM]: {'pwm.m2_pwm': 52727.0, 'pwm.m4_pwm': 52203.0, 'pwm.m1_pwm': 52459.0, 'pwm.m3_pwm': 48874.0, 'pm.vbat': 3.135483741760254}
[31069][PWM]: {'pwm.m2_pwm': 49772.0, 'pwm.m4_pwm': 49042.0, 'pwm.m1_pwm': 47012.0, 'pwm.m3_pwm': 48734.0, 'pm.vbat': 3.3096776008605957}
[31119][PWM]: {'pwm.m2_pwm': 51817.0, 'pwm.m4_pwm': 50573.0, 'pwm.m1_pwm': 50527.0, 'pwm.m3_pwm': 48086.0, 'pm.vbat': 3.198826789855957}
[31169][PWM]: {'pwm.m2_pwm': 48865.0, 'pwm.m4_pwm': 48658.0, 'pwm.m1_pwm': 47161.0, 'pwm.m3_pwm': 46952.0, 'pm.vbat': 3.3149561882019043}
[31219][PWM]: {'pwm.m2_pwm': 50687.0, 'pwm.m4_pwm': 49880.0, 'pwm.m1_pwm': 49625.0, 'pwm.m3_pwm': 46930.0, 'pm.vbat': 3.18826961517334}
[31269][PWM]: {'pwm.m2_pwm': 45534.0, 'pwm.m4_pwm': 44414.0, 'pwm.m1_pwm': 44528.0, 'pwm.m3_pwm': 41431.0, 'pm.vbat': 3.2885632514953613}
[31319][PWM]: {'pwm.m2_pwm': 50363.0, 'pwm.m4_pwm': 50436.0, 'pwm.m1_pwm': 49074.0, 'pwm.m3_pwm': 47572.0, 'pm.vbat': 3.1829910278320312}
[31369][PWM]: {'pwm.m2_pwm': 50322.0, 'pwm.m4_pwm': 40720.0, 'pwm.m1_pwm': 43566.0, 'pwm.m3_pwm': 43811.0, 'pm.vbat': 3.278006076812744}
[31419][PWM]: {'pwm.m2_pwm': 49713.0, 'pwm.m4_pwm': 51211.0, 'pwm.m1_pwm': 49008.0, 'pwm.m3_pwm': 47765.0, 'pm.vbat': 3.2093844413757324}
[31469][PWM]: {'pwm.m2_pwm': 47932.0, 'pwm.m4_pwm': 44644.0, 'pwm.m1_pwm': 44426.0, 'pwm.m3_pwm': 43997.0, 'pm.vbat': 3.29384183883667}
[31519][PWM]: {'pwm.m2_pwm': 51303.0, 'pwm.m4_pwm': 51365.0, 'pwm.m1_pwm': 50124.0, 'pwm.m3_pwm': 48194.0, 'pm.vbat': 3.1829910278320312}
[31569][PWM]: {'pwm.m2_pwm': 51138.0, 'pwm.m4_pwm': 43739.0, 'pwm.m1_pwm': 43752.0, 'pwm.m3_pwm': 47058.0, 'pm.vbat': 3.2357773780822754}
[31619][PWM]: {'pwm.m2_pwm': 53083.0, 'pwm.m4_pwm': 51088.0, 'pwm.m1_pwm': 51136.0, 'pwm.m3_pwm': 48444.0, 'pm.vbat': 3.1671552658081055}
[31669][PWM]: {'pwm.m2_pwm': 54344.0, 'pwm.m4_pwm': 38473.0, 'pwm.m1_pwm': 48928.0, 'pwm.m3_pwm': 41024.0, 'pm.vbat': 3.251613140106201}
[31719][PWM]: {'pwm.m2_pwm': 50619.0, 'pwm.m4_pwm': 50443.0, 'pwm.m1_pwm': 49561.0, 'pwm.m3_pwm': 47016.0, 'pm.vbat': 3.1935482025146484}
[31769][PWM]: {'pwm.m2_pwm': 51329.0, 'pwm.m4_pwm': 41332.0, 'pwm.m1_pwm': 46996.0, 'pwm.m3_pwm': 41583.0, 'pm.vbat': 3.2727274894714355}
[31819][PWM]: {'pwm.m2_pwm': 51074.0, 'pwm.m4_pwm': 50317.0, 'pwm.m1_pwm': 48984.0, 'pwm.m3_pwm': 47575.0, 'pm.vbat': 3.198826789855957}
[31869][PWM]: {'pwm.m2_pwm': 51283.0, 'pwm.m4_pwm': 44314.0, 'pwm.m1_pwm': 48625.0, 'pwm.m3_pwm': 42185.0, 'pm.vbat': 3.2357773780822754}
[31919][PWM]: {'pwm.m2_pwm': 51287.0, 'pwm.m4_pwm': 50651.0, 'pwm.m1_pwm': 49244.0, 'pwm.m3_pwm': 48401.0, 'pm.vbat': 3.1935482025146484}
[31969][PWM]: {'pwm.m2_pwm': 48654.0, 'pwm.m4_pwm': 46615.0, 'pwm.m1_pwm': 46867.0, 'pwm.m3_pwm': 44303.0, 'pm.vbat': 3.241055965423584}
[32019][PWM]: {'pwm.m2_pwm': 50540.0, 'pwm.m4_pwm': 49701.0, 'pwm.m1_pwm': 49609.0, 'pwm.m3_pwm': 46632.0, 'pm.vbat': 3.2041053771972656}
[32069][PWM]: {'pwm.m2_pwm': 46464.0, 'pwm.m4_pwm': 46264.0, 'pwm.m1_pwm': 45611.0, 'pwm.m3_pwm': 43394.0, 'pm.vbat': 3.29384183883667}
[32119][PWM]: {'pwm.m2_pwm': 48833.0, 'pwm.m4_pwm': 48697.0, 'pwm.m1_pwm': 47799.0, 'pwm.m3_pwm': 46215.0, 'pm.vbat': 3.251613140106201}
[32169][PWM]: {'pwm.m2_pwm': 47607.0, 'pwm.m4_pwm': 46589.0, 'pwm.m1_pwm': 46073.0, 'pwm.m3_pwm': 44846.0, 'pm.vbat': 3.2463345527648926}
[32219][PWM]: {'pwm.m2_pwm': 50533.0, 'pwm.m4_pwm': 49891.0, 'pwm.m1_pwm': 49773.0, 'pwm.m3_pwm': 47529.0, 'pm.vbat': 3.198826789855957}
