Wed Feb 21 12:59:51 2018
###Command: takeoff###
[69221][PWM]: {'pwm.m1_pwm': 38475.0, 'pwm.m2_pwm': 45105.0, 'pwm.m4_pwm': 37083.0, 'pwm.m3_pwm': 41391.0, 'pm.vbat': 3.4310851097106934}
[69271][PWM]: {'pwm.m1_pwm': 49988.0, 'pwm.m2_pwm': 49487.0, 'pwm.m4_pwm': 50975.0, 'pwm.m3_pwm': 49296.0, 'pm.vbat': 3.33079195022583}
[69321][PWM]: {'pwm.m1_pwm': 35636.0, 'pwm.m2_pwm': 44477.0, 'pwm.m4_pwm': 41917.0, 'pwm.m3_pwm': 47469.0, 'pm.vbat': 3.4046921730041504}
[69371][PWM]: {'pwm.m1_pwm': 51784.0, 'pwm.m2_pwm': 51015.0, 'pwm.m4_pwm': 51604.0, 'pwm.m3_pwm': 49623.0, 'pm.vbat': 3.33079195022583}
[69421][PWM]: {'pwm.m1_pwm': 40770.0, 'pwm.m2_pwm': 44337.0, 'pwm.m4_pwm': 43173.0, 'pwm.m3_pwm': 44908.0, 'pm.vbat': 3.399413585662842}
[69471][PWM]: {'pwm.m1_pwm': 49974.0, 'pwm.m2_pwm': 51216.0, 'pwm.m4_pwm': 51264.0, 'pwm.m3_pwm': 51817.0, 'pm.vbat': 3.3360705375671387}
[69521][PWM]: {'pwm.m1_pwm': 41899.0, 'pwm.m2_pwm': 44881.0, 'pwm.m4_pwm': 43427.0, 'pwm.m3_pwm': 45222.0, 'pm.vbat': 3.394134998321533}
[69571][PWM]: {'pwm.m1_pwm': 51088.0, 'pwm.m2_pwm': 50946.0, 'pwm.m4_pwm': 51187.0, 'pwm.m3_pwm': 50965.0, 'pm.vbat': 3.3255133628845215}
[69621][PWM]: {'pwm.m1_pwm': 36068.0, 'pwm.m2_pwm': 42627.0, 'pwm.m4_pwm': 45017.0, 'pwm.m3_pwm': 50466.0, 'pm.vbat': 3.399413585662842}
[69671][PWM]: {'pwm.m1_pwm': 53066.0, 'pwm.m2_pwm': 52680.0, 'pwm.m4_pwm': 49527.0, 'pwm.m3_pwm': 50096.0, 'pm.vbat': 3.320234775543213}
[69721][PWM]: {'pwm.m1_pwm': 47572.0, 'pwm.m2_pwm': 40359.0, 'pwm.m4_pwm': 47161.0, 'pwm.m3_pwm': 40100.0, 'pm.vbat': 3.394134998321533}
[69771][PWM]: {'pwm.m1_pwm': 47420.0, 'pwm.m2_pwm': 49133.0, 'pwm.m4_pwm': 50714.0, 'pwm.m3_pwm': 52344.0, 'pm.vbat': 3.3677420616149902}
[69821][PWM]: {'pwm.m1_pwm': 41099.0, 'pwm.m2_pwm': 46909.0, 'pwm.m4_pwm': 40108.0, 'pwm.m3_pwm': 46035.0, 'pm.vbat': 3.3888564109802246}
[69871][PWM]: {'pwm.m1_pwm': 50957.0, 'pwm.m2_pwm': 48449.0, 'pwm.m4_pwm': 52403.0, 'pwm.m3_pwm': 50012.0, 'pm.vbat': 3.33079195022583}
[69921][PWM]: {'pwm.m1_pwm': 40506.0, 'pwm.m2_pwm': 45333.0, 'pwm.m4_pwm': 42534.0, 'pwm.m3_pwm': 46771.0, 'pm.vbat': 3.399413585662842}
[69971][PWM]: {'pwm.m1_pwm': 50524.0, 'pwm.m2_pwm': 51256.0, 'pwm.m4_pwm': 50686.0, 'pwm.m3_pwm': 51280.0, 'pm.vbat': 3.3255133628845215}
[70021][PWM]: {'pwm.m1_pwm': 44923.0, 'pwm.m2_pwm': 43326.0, 'pwm.m4_pwm': 46007.0, 'pwm.m3_pwm': 44242.0, 'pm.vbat': 3.3888564109802246}
[70071][PWM]: {'pwm.m1_pwm': 48832.0, 'pwm.m2_pwm': 51227.0, 'pwm.m4_pwm': 49226.0, 'pwm.m3_pwm': 51303.0, 'pm.vbat': 3.3413491249084473}
[70121][PWM]: {'pwm.m1_pwm': 42107.0, 'pwm.m2_pwm': 45610.0, 'pwm.m4_pwm': 42918.0, 'pwm.m3_pwm': 46205.0, 'pm.vbat': 3.3888564109802246}
[70171][PWM]: {'pwm.m1_pwm': 50137.0, 'pwm.m2_pwm': 50191.0, 'pwm.m4_pwm': 49686.0, 'pwm.m3_pwm': 49582.0, 'pm.vbat': 3.346627712249756}
[70221][PWM]: {'pwm.m1_pwm': 43423.0, 'pwm.m2_pwm': 45264.0, 'pwm.m4_pwm': 43101.0, 'pwm.m3_pwm': 45022.0, 'pm.vbat': 3.383577823638916}
[70271][PWM]: {'pwm.m1_pwm': 48492.0, 'pwm.m2_pwm': 49982.0, 'pwm.m4_pwm': 49183.0, 'pwm.m3_pwm': 50966.0, 'pm.vbat': 3.3413491249084473}
[70321][PWM]: {'pwm.m1_pwm': 43704.0, 'pwm.m2_pwm': 43075.0, 'pwm.m4_pwm': 45188.0, 'pwm.m3_pwm': 45311.0, 'pm.vbat': 3.3888564109802246}
[70371][PWM]: {'pwm.m1_pwm': 48052.0, 'pwm.m2_pwm': 50203.0, 'pwm.m4_pwm': 49376.0, 'pwm.m3_pwm': 51821.0, 'pm.vbat': 3.3413491249084473}
[70421][PWM]: {'pwm.m1_pwm': 45686.0, 'pwm.m2_pwm': 44632.0, 'pwm.m4_pwm': 45587.0, 'pwm.m3_pwm': 44955.0, 'pm.vbat': 3.357184886932373}
[70471][PWM]: {'pwm.m1_pwm': 48304.0, 'pwm.m2_pwm': 49787.0, 'pwm.m4_pwm': 49617.0, 'pwm.m3_pwm': 51182.0, 'pm.vbat': 3.3519062995910645}
[70521][PWM]: {'pwm.m1_pwm': 44280.0, 'pwm.m2_pwm': 46566.0, 'pwm.m4_pwm': 43735.0, 'pwm.m3_pwm': 45865.0, 'pm.vbat': 3.3782992362976074}
[70571][PWM]: {'pwm.m1_pwm': 49074.0, 'pwm.m2_pwm': 50409.0, 'pwm.m4_pwm': 50432.0, 'pwm.m3_pwm': 51443.0, 'pm.vbat': 3.3360705375671387}
[70621][PWM]: {'pwm.m1_pwm': 45506.0, 'pwm.m2_pwm': 45655.0, 'pwm.m4_pwm': 44924.0, 'pwm.m3_pwm': 44550.0, 'pm.vbat': 3.383577823638916}
[70671][PWM]: {'pwm.m1_pwm': 47981.0, 'pwm.m2_pwm': 49855.0, 'pwm.m4_pwm': 50414.0, 'pwm.m3_pwm': 51390.0, 'pm.vbat': 3.3413491249084473}
[70721][PWM]: {'pwm.m1_pwm': 45175.0, 'pwm.m2_pwm': 45275.0, 'pwm.m4_pwm': 45757.0, 'pwm.m3_pwm': 44750.0, 'pm.vbat': 3.373020648956299}
[70771][PWM]: {'pwm.m1_pwm': 48163.0, 'pwm.m2_pwm': 49774.0, 'pwm.m4_pwm': 49778.0, 'pwm.m3_pwm': 50301.0, 'pm.vbat': 3.346627712249756}
[70821][PWM]: {'pwm.m1_pwm': 44005.0, 'pwm.m2_pwm': 46056.0, 'pwm.m4_pwm': 44194.0, 'pwm.m3_pwm': 45034.0, 'pm.vbat': 3.3782992362976074}
[70871][PWM]: {'pwm.m1_pwm': 47569.0, 'pwm.m2_pwm': 49663.0, 'pwm.m4_pwm': 48965.0, 'pwm.m3_pwm': 49236.0, 'pm.vbat': 3.346627712249756}
[70921][PWM]: {'pwm.m1_pwm': 44543.0, 'pwm.m2_pwm': 46122.0, 'pwm.m4_pwm': 44891.0, 'pwm.m3_pwm': 43845.0, 'pm.vbat': 3.383577823638916}
[70971][PWM]: {'pwm.m1_pwm': 47007.0, 'pwm.m2_pwm': 49650.0, 'pwm.m4_pwm': 49048.0, 'pwm.m3_pwm': 49244.0, 'pm.vbat': 3.3519062995910645}
[71021][PWM]: {'pwm.m1_pwm': 44303.0, 'pwm.m2_pwm': 45546.0, 'pwm.m4_pwm': 46579.0, 'pwm.m3_pwm': 44696.0, 'pm.vbat': 3.3782992362976074}
[71071][PWM]: {'pwm.m1_pwm': 48453.0, 'pwm.m2_pwm': 50739.0, 'pwm.m4_pwm': 49791.0, 'pwm.m3_pwm': 49130.0, 'pm.vbat': 3.346627712249756}
[71121][PWM]: {'pwm.m1_pwm': 45574.0, 'pwm.m2_pwm': 47761.0, 'pwm.m4_pwm': 46376.0, 'pwm.m3_pwm': 45454.0, 'pm.vbat': 3.3624634742736816}
[71171][PWM]: {'pwm.m1_pwm': 48351.0, 'pwm.m2_pwm': 51904.0, 'pwm.m4_pwm': 48789.0, 'pwm.m3_pwm': 49207.0, 'pm.vbat': 3.3360705375671387}
[71221][PWM]: {'pwm.m1_pwm': 46290.0, 'pwm.m2_pwm': 47470.0, 'pwm.m4_pwm': 46530.0, 'pwm.m3_pwm': 43888.0, 'pm.vbat': 3.3677420616149902}
[71271][PWM]: {'pwm.m1_pwm': 47623.0, 'pwm.m2_pwm': 50039.0, 'pwm.m4_pwm': 50290.0, 'pwm.m3_pwm': 49683.0, 'pm.vbat': 3.3413491249084473}
[71321][PWM]: {'pwm.m1_pwm': 46013.0, 'pwm.m2_pwm': 48325.0, 'pwm.m4_pwm': 45400.0, 'pwm.m3_pwm': 44105.0, 'pm.vbat': 3.3624634742736816}
[71371][PWM]: {'pwm.m1_pwm': 48902.0, 'pwm.m2_pwm': 50455.0, 'pwm.m4_pwm': 49477.0, 'pwm.m3_pwm': 47951.0, 'pm.vbat': 3.346627712249756}
[71421][PWM]: {'pwm.m1_pwm': 44385.0, 'pwm.m2_pwm': 46698.0, 'pwm.m4_pwm': 45886.0, 'pwm.m3_pwm': 45476.0, 'pm.vbat': 3.3677420616149902}
[71471][PWM]: {'pwm.m1_pwm': 46698.0, 'pwm.m2_pwm': 49006.0, 'pwm.m4_pwm': 48585.0, 'pwm.m3_pwm': 48865.0, 'pm.vbat': 3.3519062995910645}
[71521][PWM]: {'pwm.m1_pwm': 46221.0, 'pwm.m2_pwm': 47404.0, 'pwm.m4_pwm': 44375.0, 'pwm.m3_pwm': 43921.0, 'pm.vbat': 3.373020648956299}
[71571][PWM]: {'pwm.m1_pwm': 45700.0, 'pwm.m2_pwm': 48232.0, 'pwm.m4_pwm': 49191.0, 'pwm.m3_pwm': 50450.0, 'pm.vbat': 3.3519062995910645}
[71621][PWM]: {'pwm.m1_pwm': 46284.0, 'pwm.m2_pwm': 45593.0, 'pwm.m4_pwm': 46842.0, 'pwm.m3_pwm': 45634.0, 'pm.vbat': 3.3624634742736816}
[71671][PWM]: {'pwm.m1_pwm': 49707.0, 'pwm.m2_pwm': 50956.0, 'pwm.m4_pwm': 46655.0, 'pwm.m3_pwm': 48089.0, 'pm.vbat': 3.3413491249084473}
[71721][PWM]: {'pwm.m1_pwm': 45919.0, 'pwm.m2_pwm': 45872.0, 'pwm.m4_pwm': 47259.0, 'pwm.m3_pwm': 47510.0, 'pm.vbat': 3.3360705375671387}
[71771][PWM]: {'pwm.m1_pwm': 48415.0, 'pwm.m2_pwm': 49976.0, 'pwm.m4_pwm': 47268.0, 'pwm.m3_pwm': 49524.0, 'pm.vbat': 3.3413491249084473}
[71821][PWM]: {'pwm.m1_pwm': 44368.0, 'pwm.m2_pwm': 45192.0, 'pwm.m4_pwm': 46113.0, 'pwm.m3_pwm': 48024.0, 'pm.vbat': 3.3677420616149902}
[71871][PWM]: {'pwm.m1_pwm': 48038.0, 'pwm.m2_pwm': 48583.0, 'pwm.m4_pwm': 46667.0, 'pwm.m3_pwm': 48567.0, 'pm.vbat': 3.3519062995910645}
[71921][PWM]: {'pwm.m1_pwm': 46260.0, 'pwm.m2_pwm': 44965.0, 'pwm.m4_pwm': 45650.0, 'pwm.m3_pwm': 46146.0, 'pm.vbat': 3.3677420616149902}
[71971][PWM]: {'pwm.m1_pwm': 47383.0, 'pwm.m2_pwm': 47895.0, 'pwm.m4_pwm': 47235.0, 'pwm.m3_pwm': 49458.0, 'pm.vbat': 3.3519062995910645}
[72021][PWM]: {'pwm.m1_pwm': 47417.0, 'pwm.m2_pwm': 45762.0, 'pwm.m4_pwm': 45248.0, 'pwm.m3_pwm': 45490.0, 'pm.vbat': 3.3624634742736816}
[72071][PWM]: {'pwm.m1_pwm': 47063.0, 'pwm.m2_pwm': 47488.0, 'pwm.m4_pwm': 47317.0, 'pwm.m3_pwm': 49492.0, 'pm.vbat': 3.3519062995910645}
[72121][PWM]: {'pwm.m1_pwm': 47295.0, 'pwm.m2_pwm': 45784.0, 'pwm.m4_pwm': 45729.0, 'pwm.m3_pwm': 46166.0, 'pm.vbat': 3.3677420616149902}
[72171][PWM]: {'pwm.m1_pwm': 48465.0, 'pwm.m2_pwm': 49191.0, 'pwm.m4_pwm': 47340.0, 'pwm.m3_pwm': 49672.0, 'pm.vbat': 3.346627712249756}
[72221][PWM]: {'pwm.m1_pwm': 47833.0, 'pwm.m2_pwm': 47241.0, 'pwm.m4_pwm': 45519.0, 'pwm.m3_pwm': 46636.0, 'pm.vbat': 3.357184886932373}
[72271][PWM]: {'pwm.m1_pwm': 47835.0, 'pwm.m2_pwm': 48401.0, 'pwm.m4_pwm': 47115.0, 'pwm.m3_pwm': 49180.0, 'pm.vbat': 3.346627712249756}
[72321][PWM]: {'pwm.m1_pwm': 48013.0, 'pwm.m2_pwm': 47186.0, 'pwm.m4_pwm': 45599.0, 'pwm.m3_pwm': 46154.0, 'pm.vbat': 3.357184886932373}
[72371][PWM]: {'pwm.m1_pwm': 46725.0, 'pwm.m2_pwm': 47820.0, 'pwm.m4_pwm': 47150.0, 'pwm.m3_pwm': 49243.0, 'pm.vbat': 3.3519062995910645}
[72421][PWM]: {'pwm.m1_pwm': 47992.0, 'pwm.m2_pwm': 46854.0, 'pwm.m4_pwm': 45428.0, 'pwm.m3_pwm': 45619.0, 'pm.vbat': 3.3624634742736816}
[72471][PWM]: {'pwm.m1_pwm': 47967.0, 'pwm.m2_pwm': 48412.0, 'pwm.m4_pwm': 47650.0, 'pwm.m3_pwm': 49333.0, 'pm.vbat': 3.346627712249756}
[72521][PWM]: {'pwm.m1_pwm': 47902.0, 'pwm.m2_pwm': 46484.0, 'pwm.m4_pwm': 46381.0, 'pwm.m3_pwm': 46388.0, 'pm.vbat': 3.3519062995910645}
[72571][PWM]: {'pwm.m1_pwm': 48669.0, 'pwm.m2_pwm': 48741.0, 'pwm.m4_pwm': 47296.0, 'pwm.m3_pwm': 48935.0, 'pm.vbat': 3.346627712249756}
[72621][PWM]: {'pwm.m1_pwm': 47414.0, 'pwm.m2_pwm': 47100.0, 'pwm.m4_pwm': 45740.0, 'pwm.m3_pwm': 47324.0, 'pm.vbat': 3.3519062995910645}
###Command: square###
[72671][PWM]: {'pwm.m1_pwm': 48991.0, 'pwm.m2_pwm': 47547.0, 'pwm.m4_pwm': 47901.0, 'pwm.m3_pwm': 48221.0, 'pm.vbat': 3.346627712249756}
[72721][PWM]: {'pwm.m1_pwm': 47036.0, 'pwm.m2_pwm': 47024.0, 'pwm.m4_pwm': 45831.0, 'pwm.m3_pwm': 47949.0, 'pm.vbat': 3.346627712249756}
[72771][PWM]: {'pwm.m1_pwm': 49535.0, 'pwm.m2_pwm': 41668.0, 'pwm.m4_pwm': 49912.0, 'pwm.m3_pwm': 45110.0, 'pm.vbat': 3.357184886932373}
