time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 347, 347, 0, 0, 256, 0.0205708446169442, 0.0205708446169442, 0, 0
150, 347, 347, 347, 347, 256, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442
200, 693, 693, 347, 347, 512, 0.0410824072609288, 0.0410824072609288, 0.0205708446169442, 0.0205708446169442
250, 693, 693, 693, 693, 512, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288
300, 1038, 1038, 693, 693, 768, 0.061534687931954, 0.061534687931954, 0.0410824072609288, 0.0410824072609288
350, 1038, 1038, 1038, 1038, 768, 0.061534687931954, 0.061534687931954, 0.061534687931954, 0.061534687931954
400, 1382, 1038, 1038, 1038, 1024, 0.0819276866300197, 0.061534687931954, 0.061534687931954, 0.061534687931954
450, 1382, 1382, 1382, 1382, 1024, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197
500, 1725, 1382, 1382, 1382, 1280, 0.102261403355126, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197
550, 1725, 1725, 1725, 1725, 1280, 0.102261403355126, 0.102261403355126, 0.102261403355126, 0.102261403355126
600, 2066, 1725, 1725, 1725, 1536, 0.122476556134313, 0.102261403355126, 0.102261403355126, 0.102261403355126
650, 2069, 2069, 2069, 1727, 1536, 0.122487744686941, 0.122487744686941, 0.122487744686941, 0.102240857938302
700, 2410, 2069, 2069, 2069, 1792, 0.142675430012339, 0.122487744686941, 0.122487744686941, 0.122487744686941
750, 2410, 2410, 2410, 2410, 1792, 0.142675430012339, 0.142675430012339, 0.142675430012339, 0.142675430012339
800, 2746, 2407, 2407, 2407, 2048, 0.162788297746768, 0.1426917089135, 0.1426917089135, 0.1426917089135
850, 2750, 2750, 2750, 2750, 2048, 0.162803913914494, 0.162803913914494, 0.162803913914494, 0.162803913914494
900, 3088, 2750, 2750, 2750, 2304, 0.182813994970167, 0.162803913914494, 0.162803913914494, 0.162803913914494
950, 3088, 3088, 3088, 2750, 2304, 0.182813994970167, 0.182813994970167, 0.182813994970167, 0.162803913914494
1000, 3425, 3088, 3088, 3088, 2560, 0.202764874602597, 0.182813994970167, 0.182813994970167, 0.182813994970167
1050, 3425, 3425, 3425, 3088, 2560, 0.202764874602597, 0.202764874602597, 0.202764874602597, 0.182813994970167
1100, 3762, 3425, 3425, 3425, 2816, 0.222715754235028, 0.202764874602597, 0.202764874602597, 0.202764874602597
1150, 3762, 3762, 3762, 3425, 2816, 0.222715754235028, 0.222715754235028, 0.222715754235028, 0.202764874602597
1200, 4097, 3762, 3762, 3762, 3072, 0.242548231020976, 0.222715754235028, 0.222715754235028, 0.222715754235028
1250, 4097, 4097, 4097, 3762, 3072, 0.242548231020976, 0.242548231020976, 0.242548231020976, 0.222715754235028
1300, 4102, 4102, 4102, 4102, 3072, 0.242513838117743, 0.242513838117743, 0.242513838117743, 0.242513838117743
1350, 4437, 4437, 4437, 4102, 3328, 0.262319331966949, 0.262319331966949, 0.262319331966949, 0.242513838117743
1400, 4437, 4437, 4437, 4437, 3328, 0.262319331966949, 0.262319331966949, 0.262319331966949, 0.262319331966949
1450, 4770, 4770, 4770, 4437, 3584, 0.282006584061832, 0.282006584061832, 0.282006584061832, 0.262319331966949
1500, 4770, 4770, 4770, 4770, 3584, 0.282006584061832, 0.282006584061832, 0.282006584061832, 0.282006584061832
1550, 5102, 5102, 4770, 4770, 3840, 0.301634715279553, 0.301634715279553, 0.282006584061832, 0.282006584061832
1600, 5102, 5102, 5102, 5102, 3840, 0.301634715279553, 0.301634715279553, 0.301634715279553, 0.301634715279553
1650, 5433, 5433, 5102, 5102, 4096, 0.321203725620112, 0.321203725620112, 0.301634715279553, 0.301634715279553
1700, 5433, 5433, 5433, 5433, 4096, 0.321203725620112, 0.321203725620112, 0.321203725620112, 0.321203725620112
1750, 5763, 5763, 5433, 5433, 4352, 0.340713615083509, 0.340713615083509, 0.321203725620112, 0.321203725620112
1800, 5763, 5763, 5763, 5763, 4352, 0.340713615083509, 0.340713615083509, 0.340713615083509, 0.340713615083509
1850, 6091, 6091, 5763, 5763, 4608, 0.360105262792582, 0.360105262792582, 0.340713615083509, 0.340713615083509
1900, 6091, 6091, 6091, 6091, 4608, 0.360105262792582, 0.360105262792582, 0.360105262792582, 0.360105262792582
1950, 6427, 6427, 6099, 6099, 4864, 0.379452207863917, 0.379452207863917, 0.360086979269026, 0.360086979269026
2000, 6427, 6427, 6427, 6427, 4864, 0.379452207863917, 0.379452207863917, 0.379452207863917, 0.379452207863917
2050, 6754, 6754, 6427, 6427, 5120, 0.398758396127727, 0.398758396127727, 0.379452207863917, 0.379452207863917
2100, 6754, 6754, 6754, 6754, 5120, 0.398758396127727, 0.398758396127727, 0.398758396127727, 0.398758396127727
2150, 7080, 7080, 6754, 6754, 5376, 0.418005544060454, 0.418005544060454, 0.398758396127727, 0.398758396127727
2200, 7080, 7080, 7080, 7080, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.418005544060454
2250, 7404, 7404, 7080, 7080, 5632, 0.437134611331017, 0.437134611331017, 0.418005544060454, 0.418005544060454
2300, 7404, 7404, 7404, 7404, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.437134611331017
2350, 7727, 7727, 7404, 7404, 5888, 0.456204638270498, 0.456204638270498, 0.437134611331017, 0.437134611331017
2400, 7727, 7727, 7727, 7727, 5888, 0.456204638270498, 0.456204638270498, 0.456204638270498, 0.456204638270498
2450, 8049, 8049, 7727, 7727, 6144, 0.475215624878897, 0.475215624878897, 0.456204638270498, 0.456204638270498
2500, 8049, 8049, 8049, 8049, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.475215624878897
2550, 8382, 8060, 8060, 8060, 6400, 0.494200917888108, 0.475215867117412, 0.475215867117412, 0.475215867117412
2600, 8382, 8382, 8382, 8382, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.494200917888108
2650, 8702, 8382, 8382, 8382, 6656, 0.513068049088799, 0.494200917888108, 0.494200917888108, 0.494200917888108
2700, 8702, 8702, 8702, 8702, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.513068049088799
2750, 9021, 8702, 8702, 8702, 6912, 0.531876220504488, 0.513068049088799, 0.513068049088799, 0.513068049088799
2800, 9021, 9021, 9021, 9021, 6912, 0.531876220504488, 0.531876220504488, 0.531876220504488, 0.531876220504488
2850, 9339, 9021, 9021, 9021, 7168, 0.550625432135175, 0.531876220504488, 0.531876220504488, 0.531876220504488
2900, 9339, 9339, 9339, 9339, 7168, 0.550625432135175, 0.550625432135175, 0.550625432135175, 0.550625432135175
2950, 9655, 9339, 9339, 9339, 7424, 0.569256724195858, 0.550625432135175, 0.550625432135175, 0.550625432135175
3000, 9655, 9655, 9655, 9339, 7424, 0.569256724195858, 0.569256724195858, 0.569256724195858, 0.550625432135175
3050, 9971, 9655, 9655, 9655, 7680, 0.587888016256541, 0.569256724195858, 0.569256724195858, 0.569256724195858
3100, 9971, 9971, 9971, 9655, 7680, 0.587888016256541, 0.587888016256541, 0.587888016256541, 0.569256724195858
3150, 10285, 9971, 9971, 9971, 7936, 0.606401388747219, 0.587888016256541, 0.587888016256541, 0.587888016256541
3200, 10299, 10299, 10299, 9984, 7936, 0.606397281661135, 0.606397281661135, 0.606397281661135, 0.587850321400599
3250, 10299, 10299, 10299, 10299, 7936, 0.606397281661135, 0.606397281661135, 0.606397281661135, 0.606397281661135
3300, 10613, 10613, 10613, 10299, 8192, 0.624885362682749, 0.624885362682749, 0.624885362682749, 0.606397281661135
3350, 10925, 10613, 10613, 10613, 8448, 0.643255685226517, 0.624885362682749, 0.624885362682749, 0.624885362682749
3400, 10925, 10925, 10925, 10613, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.624885362682749
3450, 10925, 10925, 10925, 10925, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.643255685226517
3500, 11237, 11237, 11237, 10925, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.643255685226517
3550, 11237, 11237, 11237, 11237, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.661626007770286
3600, 11547, 11547, 11547, 11237, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.661626007770286
3650, 11547, 11547, 11547, 11547, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.67987857183621
3700, 11872, 11872, 11872, 11563, 9216, 0.698058081426291, 0.698058081426291, 0.698058081426291, 0.679889285337955
3750, 11872, 11872, 11872, 11872, 9216, 0.698058081426291, 0.698058081426291, 0.698058081426291, 0.698058081426291
3800, 12180, 12180, 12180, 11872, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.698058081426291
3850, 12180, 12180, 12180, 12180, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.716168078821784
3900, 12487, 12487, 12180, 12180, 9728, 0.734219277524435, 0.734219277524435, 0.716168078821784, 0.716168078821784
3950, 12487, 12487, 12487, 12487, 9728, 0.734219277524435, 0.734219277524435, 0.734219277524435, 0.734219277524435
4000, 12793, 12793, 12487, 12487, 9984, 0.752211677534244, 0.752211677534244, 0.734219277524435, 0.734219277524435
4050, 12793, 12793, 12793, 12793, 9984, 0.752211677534244, 0.752211677534244, 0.752211677534244, 0.752211677534244
4100, 13098, 13098, 12793, 12793, 10240, 0.770145278851209, 0.770145278851209, 0.752211677534244, 0.752211677534244
4150, 13098, 13098, 13098, 13098, 10240, 0.770145278851209, 0.770145278851209, 0.770145278851209, 0.770145278851209
4200, 13401, 13401, 13098, 13098, 10496, 0.78796128278249, 0.78796128278249, 0.770145278851209, 0.770145278851209
4250, 13401, 13401, 13401, 13401, 10496, 0.78796128278249, 0.78796128278249, 0.78796128278249, 0.78796128278249
4300, 13704, 13704, 13401, 13401, 10752, 0.805777286713771, 0.805777286713771, 0.78796128278249, 0.78796128278249
4350, 13704, 13704, 13704, 13704, 10752, 0.805777286713771, 0.805777286713771, 0.805777286713771, 0.805777286713771
4400, 14024, 14024, 13723, 13723, 11008, 0.823463290199914, 0.823463290199914, 0.805789128024345, 0.805789128024345
4450, 14024, 14024, 14024, 14024, 11008, 0.823463290199914, 0.823463290199914, 0.823463290199914, 0.823463290199914
4500, 14325, 14325, 14024, 14024, 11264, 0.841137452375482, 0.841137452375482, 0.823463290199914, 0.823463290199914
4550, 14325, 14325, 14325, 14325, 11264, 0.841137452375482, 0.841137452375482, 0.841137452375482, 0.841137452375482
4600, 14624, 14624, 14325, 14325, 11520, 0.858694178257525, 0.858694178257525, 0.841137452375482, 0.841137452375482
4650, 14624, 14624, 14624, 14624, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.858694178257525
4700, 14922, 14922, 14624, 14624, 11776, 0.876192185992806, 0.876192185992806, 0.858694178257525, 0.858694178257525
4750, 14922, 14922, 14922, 14922, 11776, 0.876192185992806, 0.876192185992806, 0.876192185992806, 0.876192185992806
4800, 15219, 15219, 14922, 14922, 12032, 0.893631475581324, 0.893631475581324, 0.876192185992806, 0.876192185992806
4850, 15219, 15219, 15219, 15219, 12032, 0.893631475581324, 0.893631475581324, 0.893631475581324, 0.893631475581324
4900, 15515, 15515, 15219, 15219, 12288, 0.911012047023079, 0.911012047023079, 0.893631475581324, 0.893631475581324
4950, 15536, 15536, 15536, 15536, 12288, 0.91099376420894, 0.91099376420894, 0.91099376420894, 0.91099376420894
5000, 15831, 15536, 15536, 15536, 12544, 0.928291856410384, 0.91099376420894, 0.91099376420894, 0.91099376420894
