time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, 347, 347, 347, 0, 256, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442, 0
200, 347, 347, 347, 347, 256, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442
250, 693, 693, 347, 347, 512, 0.0410824072609288, 0.0410824072609288, 0.0205708446169442, 0.0205708446169442
300, 693, 693, 693, 693, 512, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288
350, 1038, 1038, 693, 693, 768, 0.061534687931954, 0.061534687931954, 0.0410824072609288, 0.0410824072609288
400, 1038, 1038, 1038, 1038, 768, 0.061534687931954, 0.061534687931954, 0.061534687931954, 0.061534687931954
450, 1382, 1382, 1038, 1038, 1024, 0.0819276866300197, 0.0819276866300197, 0.061534687931954, 0.061534687931954
500, 1382, 1382, 1382, 1382, 1024, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197
550, 1725, 1725, 1382, 1382, 1280, 0.102261403355126, 0.102261403355126, 0.0819276866300197, 0.0819276866300197
600, 1725, 1725, 1725, 1725, 1280, 0.102261403355126, 0.102261403355126, 0.102261403355126, 0.102261403355126
650, 2066, 2066, 1725, 1725, 1536, 0.122476556134313, 0.122476556134313, 0.102261403355126, 0.102261403355126
700, 2066, 2066, 2066, 2066, 1536, 0.122476556134313, 0.122476556134313, 0.122476556134313, 0.122476556134313
750, 2407, 2407, 2066, 2066, 1792, 0.1426917089135, 0.1426917089135, 0.122476556134313, 0.122476556134313
800, 2407, 2407, 2407, 2407, 1792, 0.1426917089135, 0.1426917089135, 0.1426917089135, 0.1426917089135
850, 2750, 2750, 2410, 2410, 2048, 0.162803913914494, 0.162803913914494, 0.142675430012339, 0.142675430012339
900, 2750, 2750, 2750, 2750, 2048, 0.162803913914494, 0.162803913914494, 0.162803913914494, 0.162803913914494
950, 3088, 3088, 2750, 2750, 2304, 0.182813994970167, 0.182813994970167, 0.162803913914494, 0.162803913914494
1000, 3088, 3088, 3088, 3088, 2304, 0.182813994970167, 0.182813994970167, 0.182813994970167, 0.182813994970167
1050, 3425, 3425, 3088, 3088, 2560, 0.202764874602597, 0.202764874602597, 0.182813994970167, 0.182813994970167
1100, 3425, 3425, 3425, 3425, 2560, 0.202764874602597, 0.202764874602597, 0.202764874602597, 0.202764874602597
1150, 3762, 3762, 3425, 3425, 2816, 0.222715754235028, 0.222715754235028, 0.202764874602597, 0.202764874602597
1200, 3762, 3762, 3762, 3762, 2816, 0.222715754235028, 0.222715754235028, 0.222715754235028, 0.222715754235028
1250, 4097, 4097, 3762, 3762, 3072, 0.242548231020976, 0.242548231020976, 0.222715754235028, 0.222715754235028
1300, 4097, 4097, 4097, 4097, 3072, 0.242548231020976, 0.242548231020976, 0.242548231020976, 0.242548231020976
1350, 4437, 4102, 4102, 4102, 3328, 0.262319331966949, 0.242513838117743, 0.242513838117743, 0.242513838117743
1400, 4437, 4437, 4437, 4437, 3328, 0.262319331966949, 0.262319331966949, 0.262319331966949, 0.262319331966949
1450, 4770, 4437, 4437, 4437, 3584, 0.282006584061832, 0.262319331966949, 0.262319331966949, 0.262319331966949
1500, 4770, 4770, 4770, 4770, 3584, 0.282006584061832, 0.282006584061832, 0.282006584061832, 0.282006584061832
1550, 5095, 4763, 4763, 4763, 3840, 0.301631251416127, 0.281976378899904, 0.281976378899904, 0.281976378899904
1600, 5102, 5102, 5102, 5102, 3840, 0.301634715279553, 0.301634715279553, 0.301634715279553, 0.301634715279553
1650, 5433, 5102, 5102, 5102, 4096, 0.321203725620112, 0.301634715279553, 0.301634715279553, 0.301634715279553
1700, 5433, 5433, 5433, 5433, 4096, 0.321203725620112, 0.321203725620112, 0.321203725620112, 0.321203725620112
1750, 5763, 5433, 5433, 5433, 4352, 0.340713615083509, 0.321203725620112, 0.321203725620112, 0.321203725620112
1800, 5763, 5763, 5763, 5433, 4352, 0.340713615083509, 0.340713615083509, 0.340713615083509, 0.321203725620112
1850, 6091, 5763, 5763, 5763, 4608, 0.360105262792582, 0.340713615083509, 0.340713615083509, 0.340713615083509
1900, 6099, 6099, 6099, 5770, 4608, 0.360086979269026, 0.360086979269026, 0.360086979269026, 0.340662710343053
1950, 6419, 6091, 6091, 6091, 4864, 0.379496910501656, 0.360105262792582, 0.360105262792582, 0.360105262792582
2000, 6427, 6427, 6427, 6099, 4864, 0.379452207863917, 0.379452207863917, 0.379452207863917, 0.360086979269026
2050, 6754, 6427, 6427, 6427, 5120, 0.398758396127727, 0.379452207863917, 0.379452207863917, 0.379452207863917
2100, 6754, 6754, 6754, 6427, 5120, 0.398758396127727, 0.398758396127727, 0.398758396127727, 0.379452207863917
2150, 7080, 6754, 6754, 6754, 5376, 0.418005544060454, 0.398758396127727, 0.398758396127727, 0.398758396127727
2200, 7080, 7080, 7080, 6754, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.398758396127727
2250, 7080, 7080, 7080, 7080, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.418005544060454
2300, 7404, 7404, 7404, 7080, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.418005544060454
2350, 7404, 7404, 7404, 7404, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.437134611331017
2400, 7727, 7727, 7727, 7404, 5888, 0.456204638270498, 0.456204638270498, 0.456204638270498, 0.437134611331017
2450, 7727, 7727, 7727, 7727, 5888, 0.456204638270498, 0.456204638270498, 0.456204638270498, 0.456204638270498
2500, 8049, 8049, 8049, 7727, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.456204638270498
2550, 8060, 8060, 8060, 8060, 6144, 0.475215867117412, 0.475215867117412, 0.475215867117412, 0.475215867117412
2600, 8370, 8370, 8370, 8049, 6400, 0.494167571156214, 0.494167571156214, 0.494167571156214, 0.475215624878897
2650, 8382, 8382, 8382, 8382, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.494200917888108
2700, 8702, 8702, 8702, 8382, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.494200917888108
2750, 8702, 8702, 8702, 8702, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.513068049088799
2800, 9021, 9021, 8702, 8702, 6912, 0.531876220504488, 0.531876220504488, 0.513068049088799, 0.513068049088799
2850, 9021, 9021, 9021, 9021, 6912, 0.531876220504488, 0.531876220504488, 0.531876220504488, 0.531876220504488
2900, 9339, 9339, 9021, 9021, 7168, 0.550625432135175, 0.550625432135175, 0.531876220504488, 0.531876220504488
2950, 9339, 9339, 9339, 9339, 7168, 0.550625432135175, 0.550625432135175, 0.550625432135175, 0.550625432135175
3000, 9655, 9655, 9339, 9339, 7424, 0.569256724195858, 0.569256724195858, 0.550625432135175, 0.550625432135175
3050, 9655, 9655, 9655, 9655, 7424, 0.569256724195858, 0.569256724195858, 0.569256724195858, 0.569256724195858
3100, 9971, 9971, 9655, 9655, 7680, 0.587888016256541, 0.587888016256541, 0.569256724195858, 0.569256724195858
3150, 9971, 9971, 9971, 9971, 7680, 0.587888016256541, 0.587888016256541, 0.587888016256541, 0.587888016256541
3200, 10285, 10285, 9971, 9971, 7936, 0.606401388747219, 0.606401388747219, 0.587888016256541, 0.587888016256541
3250, 10285, 10285, 10285, 10285, 7936, 0.606401388747219, 0.606401388747219, 0.606401388747219, 0.606401388747219
3300, 10613, 10613, 10299, 10299, 8192, 0.624885362682749, 0.624885362682749, 0.606397281661135, 0.606397281661135
3350, 10613, 10613, 10613, 10613, 8192, 0.624885362682749, 0.624885362682749, 0.624885362682749, 0.624885362682749
3400, 10925, 10925, 10613, 10613, 8448, 0.643255685226517, 0.643255685226517, 0.624885362682749, 0.624885362682749
3450, 10925, 10925, 10925, 10925, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.643255685226517
3500, 11237, 11237, 10925, 10925, 8704, 0.661626007770286, 0.661626007770286, 0.643255685226517, 0.643255685226517
3550, 11237, 11237, 11237, 11237, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.661626007770286
3600, 11547, 11547, 11237, 11237, 8960, 0.67987857183621, 0.67987857183621, 0.661626007770286, 0.661626007770286
3650, 11547, 11547, 11547, 11547, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.67987857183621
3700, 11856, 11856, 11547, 11547, 9216, 0.698072256663212, 0.698072256663212, 0.67987857183621, 0.67987857183621
3750, 11856, 11856, 11856, 11856, 9216, 0.698072256663212, 0.698072256663212, 0.698072256663212, 0.698072256663212
3800, 12163, 11856, 11856, 11856, 9472, 0.716148183012369, 0.698072256663212, 0.698072256663212, 0.698072256663212
3850, 12180, 12180, 12180, 12180, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.716168078821784
3900, 12487, 12180, 12180, 12180, 9728, 0.734219277524435, 0.716168078821784, 0.716168078821784, 0.716168078821784
3950, 12487, 12487, 12487, 12487, 9728, 0.734219277524435, 0.734219277524435, 0.734219277524435, 0.734219277524435
4000, 12776, 12470, 12470, 12470, 9984, 0.752241156471761, 0.734224109361526, 0.734224109361526, 0.734224109361526
4050, 12793, 12793, 12793, 12793, 9984, 0.752211677534244, 0.752211677534244, 0.752211677534244, 0.752211677534244
4100, 13098, 12793, 12793, 12793, 10240, 0.770145278851209, 0.752211677534244, 0.752211677534244, 0.752211677534244
4150, 13098, 13098, 13098, 13098, 10240, 0.770145278851209, 0.770145278851209, 0.770145278851209, 0.770145278851209
4200, 13401, 13098, 13098, 13098, 10496, 0.78796128278249, 0.770145278851209, 0.770145278851209, 0.770145278851209
4250, 13401, 13401, 13401, 13098, 10496, 0.78796128278249, 0.78796128278249, 0.78796128278249, 0.770145278851209
4300, 13704, 13401, 13401, 13401, 10752, 0.805777286713771, 0.78796128278249, 0.78796128278249, 0.78796128278249
4350, 13704, 13704, 13704, 13401, 10752, 0.805777286713771, 0.805777286713771, 0.805777286713771, 0.78796128278249
4400, 14024, 13723, 13723, 13723, 11008, 0.823463290199914, 0.805789128024345, 0.805789128024345, 0.805789128024345
4450, 14005, 14005, 14005, 13704, 11008, 0.823475693259367, 0.823475693259367, 0.823475693259367, 0.805777286713771
4500, 14305, 14005, 14005, 14005, 11264, 0.84111530111212, 0.823475693259367, 0.823475693259367, 0.823475693259367
4550, 14325, 14325, 14325, 14024, 11264, 0.841137452375482, 0.841137452375482, 0.841137452375482, 0.823463290199914
4600, 14624, 14325, 14325, 14325, 11520, 0.858694178257525, 0.841137452375482, 0.841137452375482, 0.841137452375482
4650, 14624, 14624, 14624, 14325, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.841137452375482
4700, 14624, 14624, 14624, 14624, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.858694178257525
4750, 14922, 14922, 14922, 14624, 11776, 0.876192185992806, 0.876192185992806, 0.876192185992806, 0.858694178257525
4800, 14922, 14922, 14922, 14922, 11776, 0.876192185992806, 0.876192185992806, 0.876192185992806, 0.876192185992806
4850, 15219, 15219, 15219, 14922, 12032, 0.893631475581324, 0.893631475581324, 0.893631475581324, 0.876192185992806
4900, 15240, 15240, 15240, 15240, 12032, 0.893637034406813, 0.893637034406813, 0.893637034406813, 0.893637034406813
4950, 15515, 15515, 15515, 15219, 12288, 0.911012047023079, 0.911012047023079, 0.911012047023079, 0.893631475581324
5000, 15515, 15515, 15515, 15515, 12288, 0.911012047023079, 0.911012047023079, 0.911012047023079, 0.911012047023079
