time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, 347, 347, 0, 0, 256, 0.0205708446169442, 0.0205708446169442, 0, 0
200, 347, 347, 347, 347, 256, 0.0205428938648471, 0.0205428938648471, 0.0205428938648471, 0.0205428938648471
250, 694, 694, 347, 347, 512, 0.0410857877296942, 0.0410857877296942, 0.0205428938648471, 0.0205428938648471
300, 694, 694, 694, 694, 512, 0.0410857877296942, 0.0410857877296942, 0.0410857877296942, 0.0410857877296942
350, 1039, 1039, 694, 694, 768, 0.061510278748058, 0.061510278748058, 0.0410857877296942, 0.0410857877296942
400, 1039, 1039, 1039, 1039, 768, 0.061510278748058, 0.061510278748058, 0.061510278748058, 0.061510278748058
450, 1382, 1382, 1038, 1038, 1024, 0.0819276866300197, 0.0819276866300197, 0.061534687931954, 0.061534687931954
500, 1384, 1384, 1384, 1384, 1024, 0.0819347697664218, 0.0819347697664218, 0.0819347697664218, 0.0819347697664218
550, 1727, 1727, 1384, 1384, 1280, 0.102240857938302, 0.102240857938302, 0.0819347697664218, 0.0819347697664218
600, 1727, 1727, 1727, 1727, 1280, 0.102240857938302, 0.102240857938302, 0.102240857938302, 0.102240857938302
650, 2069, 2069, 1727, 1727, 1536, 0.122487744686941, 0.122487744686941, 0.102240857938302, 0.102240857938302
700, 2066, 2066, 2066, 2066, 1536, 0.122476556134313, 0.122476556134313, 0.122476556134313, 0.122476556134313
750, 2410, 2410, 2069, 2069, 1792, 0.142675430012339, 0.142675430012339, 0.122487744686941, 0.122487744686941
800, 2410, 2410, 2410, 2410, 1792, 0.142675430012339, 0.142675430012339, 0.142675430012339, 0.142675430012339
850, 2750, 2750, 2410, 2410, 2048, 0.162803913914494, 0.162803913914494, 0.142675430012339, 0.142675430012339
900, 2750, 2750, 2750, 2750, 2048, 0.162803913914494, 0.162803913914494, 0.162803913914494, 0.162803913914494
950, 3088, 3088, 2750, 2750, 2304, 0.182813994970167, 0.182813994970167, 0.162803913914494, 0.162803913914494
1000, 3088, 3088, 3088, 3088, 2304, 0.182813994970167, 0.182813994970167, 0.182813994970167, 0.182813994970167
1050, 3425, 3425, 3088, 3088, 2560, 0.202764874602597, 0.202764874602597, 0.182813994970167, 0.182813994970167
1100, 3425, 3425, 3425, 3425, 2560, 0.202764874602597, 0.202764874602597, 0.202764874602597, 0.202764874602597
1150, 3762, 3762, 3425, 3425, 2816, 0.222715754235028, 0.222715754235028, 0.202764874602597, 0.202764874602597
1200, 3762, 3762, 3762, 3762, 2816, 0.222715754235028, 0.222715754235028, 0.222715754235028, 0.222715754235028
1250, 4102, 3767, 3767, 3767, 3072, 0.242513838117743, 0.222708344268537, 0.222708344268537, 0.222708344268537
1300, 4102, 4102, 4102, 4102, 3072, 0.242513838117743, 0.242513838117743, 0.242513838117743, 0.242513838117743
1350, 4437, 4102, 4102, 4102, 3328, 0.262319331966949, 0.242513838117743, 0.242513838117743, 0.242513838117743
1400, 4437, 4437, 4437, 4437, 3328, 0.262319331966949, 0.262319331966949, 0.262319331966949, 0.262319331966949
1450, 4770, 4437, 4437, 4437, 3584, 0.282006584061832, 0.262319331966949, 0.262319331966949, 0.262319331966949
1500, 4770, 4770, 4770, 4437, 3584, 0.282006584061832, 0.282006584061832, 0.282006584061832, 0.262319331966949
1550, 5102, 4770, 4770, 4770, 3840, 0.301634715279553, 0.282006584061832, 0.282006584061832, 0.282006584061832
1600, 5102, 5102, 5102, 5102, 3840, 0.301634715279553, 0.301634715279553, 0.301634715279553, 0.301634715279553
1650, 5433, 5102, 5102, 5102, 4096, 0.321203725620112, 0.301634715279553, 0.301634715279553, 0.301634715279553
1700, 5433, 5433, 5433, 5102, 4096, 0.321203725620112, 0.321203725620112, 0.321203725620112, 0.301634715279553
1750, 5770, 5440, 5440, 5440, 4352, 0.340662710343053, 0.321179401085998, 0.321179401085998, 0.321179401085998
1800, 5770, 5770, 5770, 5440, 4352, 0.340662710343053, 0.340662710343053, 0.340662710343053, 0.321179401085998
1850, 6099, 5770, 5770, 5770, 4608, 0.360086979269026, 0.340662710343053, 0.340662710343053, 0.340662710343053
1900, 6099, 6099, 6099, 5770, 4608, 0.360086979269026, 0.360086979269026, 0.360086979269026, 0.340662710343053
1950, 6427, 6099, 6099, 6099, 4864, 0.379452207863917, 0.360086979269026, 0.360086979269026, 0.360086979269026
2000, 6427, 6427, 6427, 6099, 4864, 0.379452207863917, 0.379452207863917, 0.379452207863917, 0.360086979269026
2050, 6754, 6427, 6427, 6427, 5120, 0.398758396127727, 0.379452207863917, 0.379452207863917, 0.379452207863917
2100, 6754, 6754, 6754, 6427, 5120, 0.398758396127727, 0.398758396127727, 0.398758396127727, 0.379452207863917
2150, 6754, 6754, 6754, 6754, 5120, 0.398758396127727, 0.398758396127727, 0.398758396127727, 0.398758396127727
2200, 7080, 7080, 7080, 6754, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.398758396127727
2250, 7080, 7080, 7080, 7080, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.418005544060454
2300, 7404, 7404, 7404, 7080, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.418005544060454
2350, 7404, 7404, 7404, 7404, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.437134611331017
2400, 7738, 7738, 7738, 7414, 5888, 0.456230816346717, 0.456230816346717, 0.456230816346717, 0.437127846006017
2450, 7738, 7738, 7738, 7738, 5888, 0.456230816346717, 0.456230816346717, 0.456230816346717, 0.456230816346717
2500, 8060, 8060, 8060, 7738, 6144, 0.475215867117412, 0.475215867117412, 0.475215867117412, 0.456230816346717
2550, 8049, 8049, 8049, 8049, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.475215624878897
2600, 8382, 8382, 8382, 8060, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.475215867117412
2650, 8382, 8382, 8382, 8382, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.494200917888108
2700, 8702, 8702, 8702, 8382, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.494200917888108
2750, 8702, 8702, 8702, 8702, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.513068049088799
2800, 9021, 9021, 8702, 8702, 6912, 0.531876220504488, 0.531876220504488, 0.513068049088799, 0.513068049088799
2850, 9021, 9021, 9021, 9021, 6912, 0.531876220504488, 0.531876220504488, 0.531876220504488, 0.531876220504488
2900, 9351, 9351, 9033, 9033, 7168, 0.550579763162761, 0.550579763162761, 0.531856165185458, 0.531856165185458
2950, 9351, 9351, 9351, 9351, 7168, 0.550579763162761, 0.550579763162761, 0.550579763162761, 0.550579763162761
3000, 9668, 9668, 9351, 9351, 7424, 0.569244481901141, 0.569244481901141, 0.550579763162761, 0.550579763162761
3050, 9668, 9668, 9668, 9668, 7424, 0.569244481901141, 0.569244481901141, 0.569244481901141, 0.569244481901141
3100, 9984, 9984, 9668, 9668, 7680, 0.587850321400599, 0.587850321400599, 0.569244481901141, 0.569244481901141
3150, 9984, 9984, 9984, 9984, 7680, 0.587850321400599, 0.587850321400599, 0.587850321400599, 0.587850321400599
3200, 10299, 10299, 9984, 9984, 7936, 0.606397281661135, 0.606397281661135, 0.587850321400599, 0.587850321400599
3250, 10299, 10299, 10299, 10299, 7936, 0.606397281661135, 0.606397281661135, 0.606397281661135, 0.606397281661135
3300, 10613, 10613, 10299, 10299, 8192, 0.624885362682749, 0.624885362682749, 0.606397281661135, 0.606397281661135
3350, 10613, 10613, 10613, 10613, 8192, 0.624885362682749, 0.624885362682749, 0.624885362682749, 0.624885362682749
3400, 10925, 10925, 10613, 10613, 8448, 0.643255685226517, 0.643255685226517, 0.624885362682749, 0.624885362682749
3450, 10925, 10925, 10925, 10925, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.643255685226517
3500, 11237, 10925, 10925, 10925, 8704, 0.661626007770286, 0.643255685226517, 0.643255685226517, 0.643255685226517
3550, 11237, 11237, 11237, 11237, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.661626007770286
3600, 11547, 11547, 11237, 11237, 8960, 0.67987857183621, 0.67987857183621, 0.661626007770286, 0.661626007770286
3650, 11547, 11547, 11547, 11547, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.67987857183621
3700, 11856, 11547, 11547, 11547, 9216, 0.698072256663212, 0.67987857183621, 0.67987857183621, 0.67987857183621
3750, 11872, 11872, 11872, 11872, 9216, 0.698058081426291, 0.698058081426291, 0.698058081426291, 0.698058081426291
3800, 12180, 11872, 11872, 11872, 9472, 0.716168078821784, 0.698058081426291, 0.698058081426291, 0.698058081426291
3850, 12180, 12180, 12180, 11872, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.698058081426291
3900, 12487, 12180, 12180, 12180, 9728, 0.734219277524435, 0.716168078821784, 0.716168078821784, 0.716168078821784
3950, 12487, 12487, 12487, 12180, 9728, 0.734219277524435, 0.734219277524435, 0.734219277524435, 0.716168078821784
4000, 12793, 12487, 12487, 12487, 9984, 0.752211677534244, 0.734219277524435, 0.734219277524435, 0.734219277524435
4050, 12793, 12793, 12793, 12487, 9984, 0.752211677534244, 0.752211677534244, 0.752211677534244, 0.734219277524435
4100, 13098, 12793, 12793, 12793, 10240, 0.770145278851209, 0.752211677534244, 0.752211677534244, 0.752211677534244
4150, 13098, 13098, 13098, 12793, 10240, 0.770145278851209, 0.770145278851209, 0.770145278851209, 0.752211677534244
4200, 13401, 13098, 13098, 13098, 10496, 0.78796128278249, 0.770145278851209, 0.770145278851209, 0.770145278851209
4250, 13401, 13401, 13098, 13098, 10496, 0.78796128278249, 0.78796128278249, 0.770145278851209, 0.770145278851209
4300, 13401, 13401, 13401, 13401, 10496, 0.78796128278249, 0.78796128278249, 0.78796128278249, 0.78796128278249
4350, 13723, 13723, 13723, 13420, 10752, 0.805789128024345, 0.805789128024345, 0.805789128024345, 0.787997529555251
4400, 13723, 13723, 13723, 13723, 10752, 0.805789128024345, 0.805789128024345, 0.805789128024345, 0.805789128024345
4450, 14024, 14024, 14024, 13723, 11008, 0.823463290199914, 0.823463290199914, 0.823463290199914, 0.805789128024345
4500, 14024, 14024, 14024, 14024, 11008, 0.823463290199914, 0.823463290199914, 0.823463290199914, 0.823463290199914
4550, 14325, 14325, 14325, 14024, 11264, 0.841137452375482, 0.841137452375482, 0.841137452375482, 0.823463290199914
4600, 14325, 14325, 14325, 14325, 11264, 0.841137452375482, 0.841137452375482, 0.841137452375482, 0.841137452375482
4650, 14624, 14624, 14624, 14325, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.841137452375482
4700, 14624, 14624, 14624, 14624, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.858694178257525
4750, 14943, 14943, 14644, 14644, 11776, 0.876221667004003, 0.876221667004003, 0.858689024399827, 0.858689024399827
4800, 14943, 14943, 14943, 14943, 11776, 0.876221667004003, 0.876221667004003, 0.876221667004003, 0.876221667004003
4850, 15219, 15219, 14922, 14922, 12032, 0.893631475581324, 0.893631475581324, 0.876192185992806, 0.876192185992806
4900, 15240, 15240, 15240, 15240, 12032, 0.893637034406813, 0.893637034406813, 0.893637034406813, 0.893637034406813
4950, 15536, 15536, 15240, 15240, 12288, 0.91099376420894, 0.91099376420894, 0.893637034406813, 0.893637034406813
5000, 15536, 15536, 15536, 15536, 12288, 0.91099376420894, 0.91099376420894, 0.91099376420894, 0.91099376420894
