time, m1_pwm, set_pwm, voltage
0, 0, 0, 0
50, 0, 0, 0
100, 0, 0, 0
150, 0, 0, 0
200, 0, 0, 0
250, 0, 0, 0
300, 0, 0, 0
350, 0, 0, 0
400, 0, 0, 0
450, 0, 0, 0
500, 0, 61184, 2.97174809625011
550, 0, 61184, 2.97174809625011
600, 0, 61184, 2.97174809625011
650, 0, 61184, 2.97174809625011
700, 0, 61184, 2.97174809625011
750, 0, 61184, 2.97174809625011
800, 0, 61184, 2.97174809625011
850, 0, 61184, 2.97174809625011
900, 0, 61184, 2.97174809625011
950, 0, 61184, 2.97174809625011
1000, 0, 61184, 2.97174809625011
1050, 50540, 61184, 2.97174809625011
1100, 50749, 61184, 2.97174809625011
1150, 50610, 61184, 2.97174809625011
1200, 50540, 61184, 2.97174809625011
1250, 50471, 61184, 2.97174809625011
1300, 50471, 61184, 2.97174809625011
1350, 50471, 61184, 2.97174809625011
1400, 50471, 61184, 2.97174809625011
1450, 50471, 61184, 2.97174809625011
1500, 50471, 61184, 2.97174809625011
1550, 50471, 61184, 2.97174809625011
1600, 50471, 61184, 2.97174809625011
1650, 50471, 61184, 2.97174809625011
1700, 50471, 61184, 2.97174809625011
1750, 50471, 61184, 2.97174809625011
1800, 50471, 61184, 2.97174809625011
1850, 50471, 61184, 2.97174809625011
1900, 50471, 61184, 2.97174809625011
1950, 0, 0, 0
2000, 0, 0, 0
2050, 346, 256, 0.0205910418208229
2100, 346, 256, 0.0205910418208229
2150, 691, 512, 0.0411135378486382
2200, 691, 512, 0.0411135378486382
2250, 1035, 768, 0.0615674880834461
2300, 1035, 768, 0.0615674880834461
2350, 1378, 1024, 0.0819528925252464
2400, 1378, 1024, 0.0819528925252464
2450, 1378, 1024, 0.0819528925252464
2500, 1720, 1280, 0.102269751174039
2550, 1720, 1280, 0.102269751174039
2600, 2061, 1536, 0.122518064029825
2650, 2061, 1536, 0.122518064029825
2700, 2400, 1792, 0.142697831092602
2750, 2400, 1792, 0.142697831092602
2800, 2738, 2048, 0.162809052362373
2850, 2738, 2048, 0.162809052362373
2900, 3076, 2304, 0.182851727839135
2950, 3076, 2304, 0.182851727839135
3000, 3412, 2560, 0.202825857522891
3050, 3412, 2560, 0.202825857522891
3100, 3746, 2816, 0.222731441413639
3150, 3746, 2816, 0.222731441413639
3200, 4080, 3072, 0.242568479511379
