time, m1_pwm, set_pwm, voltage
0, 0, 0, 0
50, 0, 0, 0
100, 0, 0, 0
150, 0, 0, 0
200, 0, 0, 0
250, 0, 0, 0
300, 0, 0, 0
350, 0, 61184, 2.97174809625011
400, 0, 61184, 2.97174809625011
450, 0, 61184, 2.97174809625011
500, 0, 61184, 2.97174809625011
550, 0, 61184, 2.97174809625011
600, 0, 61184, 2.97174809625011
650, 0, 61184, 2.97174809625011
700, 0, 61184, 2.97174809625011
750, 0, 61184, 2.97174809625011
800, 0, 61184, 2.97174809625011
850, 0, 61184, 2.97174809625011
900, 0, 61184, 2.97174809625011
950, 0, 61184, 2.97174809625011
1000, 50540, 61184, 2.97174809625011
1050, 50402, 61184, 2.97174809625011
1100, 50265, 61184, 2.97174809625011
1150, 50196, 61184, 2.97174809625011
1200, 50196, 61184, 2.97174809625011
1250, 50128, 61184, 2.97174809625011
1300, 50128, 61184, 2.97174809625011
1350, 50128, 61184, 2.97174809625011
1400, 50128, 61184, 2.97174809625011
1450, 50128, 61184, 2.97174809625011
1500, 50196, 61184, 2.97174809625011
1550, 50196, 61184, 2.97174809625011
1600, 50196, 61184, 2.97174809625011
1650, 50128, 61184, 2.97174809625011
1700, 50196, 61184, 2.97174809625011
1750, 50196, 61184, 2.97174809625011
1800, 50196, 61184, 2.97174809625011
1850, 50196, 61184, 2.97174809625011
1900, 50196, 61184, 2.97174809625011
1950, 0, 0, 0
2000, 0, 0, 0
2050, 344, 256, 0.0205910418208229
2100, 344, 256, 0.0205910418208229
2150, 686, 512, 0.0411135378486382
2200, 686, 512, 0.0411135378486382
2250, 1028, 768, 0.0615674880834461
2300, 1028, 768, 0.0615674880834461
2350, 1369, 1024, 0.0819528925252464
2400, 1369, 1024, 0.0819528925252464
2450, 1708, 1280, 0.102269751174039
2500, 1711, 1280, 0.102269751174039
2550, 2047, 1536, 0.122518064029825
2600, 2047, 1536, 0.122518064029825
2650, 2384, 1792, 0.142697831092602
2700, 2384, 1792, 0.142697831092602
2750, 2720, 2048, 0.162809052362373
2800, 2720, 2048, 0.162809052362373
2850, 3055, 2304, 0.182851727839135
2900, 3055, 2304, 0.182851727839135
2950, 3393, 2560, 0.202825857522891
3000, 3389, 2560, 0.202825857522891
3050, 3721, 2816, 0.222731441413639
3100, 3721, 2816, 0.222731441413639
3150, 4053, 3072, 0.242568479511379
