time, m1_pwm, set_pwm, voltage
0, 0, 0, 0
50, 0, 0, 0
100, 0, 0, 0
150, 0, 61184, 2.97174809625011
200, 0, 61184, 2.97174809625011
250, 0, 61184, 2.97174809625011
300, 0, 61184, 2.97174809625011
350, 0, 61184, 2.97174809625011
400, 0, 61184, 2.97174809625011
450, 0, 61184, 2.97174809625011
500, 0, 61184, 2.97174809625011
550, 0, 61184, 2.97174809625011
600, 0, 61184, 2.97174809625011
650, 0, 61184, 2.97174809625011
700, 0, 61184, 2.97174809625011
750, 0, 61184, 2.97174809625011
800, 0, 61184, 2.97174809625011
850, 0, 61184, 2.97174809625011
900, 0, 61184, 2.97174809625011
950, 0, 61184, 2.97174809625011
1000, 0, 61184, 2.97174809625011
1050, 49723, 61184, 2.97174809625011
1100, 50540, 61184, 2.97174809625011
1150, 50333, 61184, 2.97174809625011
1200, 50265, 61184, 2.97174809625011
1250, 50196, 61184, 2.97174809625011
1300, 50196, 61184, 2.97174809625011
1350, 50196, 61184, 2.97174809625011
1400, 50196, 61184, 2.97174809625011
1450, 50196, 61184, 2.97174809625011
1500, 50196, 61184, 2.97174809625011
1550, 50196, 61184, 2.97174809625011
1600, 50196, 61184, 2.97174809625011
1650, 50196, 61184, 2.97174809625011
1700, 50196, 61184, 2.97174809625011
1750, 50196, 61184, 2.97174809625011
1800, 50196, 61184, 2.97174809625011
1850, 50196, 61184, 2.97174809625011
1900, 50196, 61184, 2.97174809625011
1950, 0, 0, 0
2000, 0, 0, 0
2050, 344, 256, 0.0205910418208229
2100, 344, 256, 0.0205910418208229
2150, 688, 512, 0.0411135378486382
2200, 688, 512, 0.0411135378486382
2250, 1031, 768, 0.0615674880834461
2300, 1031, 768, 0.0615674880834461
2350, 1371, 1024, 0.0819528925252464
2400, 1373, 1024, 0.0819528925252464
2450, 1373, 1024, 0.0819528925252464
2500, 1711, 1280, 0.102269751174039
2550, 1711, 1280, 0.102269751174039
2600, 2049, 1536, 0.122518064029825
2650, 2390, 1792, 0.142697831092602
2700, 2390, 1792, 0.142697831092602
2750, 2387, 1792, 0.142697831092602
2800, 2727, 2048, 0.162809052362373
2850, 2727, 2048, 0.162809052362373
2900, 3063, 2304, 0.182851727839135
2950, 3063, 2304, 0.182851727839135
3000, 3393, 2560, 0.202825857522891
3050, 3398, 2560, 0.202825857522891
3100, 3731, 2816, 0.222731441413639
