time, m1_pwm, set_pwm, voltage
0, 0, 0, 0
50, 0, 0, 0
100, 0, 0, 0
150, 0, 0, 0
200, 0, 0, 0
250, 0, 0, 0
300, 0, 0, 0
350, 0, 0, 0
400, 0, 0, 0
450, 0, 0, 0
500, 0, 0, 0
550, 0, 0, 0
600, 0, 0, 0
650, 0, 61184, 2.97174809625011
700, 0, 61184, 2.97174809625011
750, 0, 61184, 2.97174809625011
800, 0, 61184, 2.97174809625011
850, 0, 61184, 2.97174809625011
900, 0, 61184, 2.97174809625011
950, 0, 61184, 2.97174809625011
1000, 49390, 61184, 2.97174809625011
1050, 49258, 61184, 2.97174809625011
1100, 49127, 61184, 2.97174809625011
1150, 49062, 61184, 2.97174809625011
1200, 48997, 61184, 2.97174809625011
1250, 48997, 61184, 2.97174809625011
1300, 48997, 61184, 2.97174809625011
1350, 48997, 61184, 2.97174809625011
1400, 48997, 61184, 2.97174809625011
1450, 49062, 61184, 2.97174809625011
1500, 49062, 61184, 2.97174809625011
1550, 48997, 61184, 2.97174809625011
1600, 48997, 61184, 2.97174809625011
1650, 49062, 61184, 2.97174809625011
1700, 49062, 61184, 2.97174809625011
1750, 49062, 61184, 2.97174809625011
1800, 49062, 61184, 2.97174809625011
1850, 49062, 61184, 2.97174809625011
1900, 49062, 61184, 2.97174809625011
1950, 0, 0, 0
2000, 0, 0, 0
2050, 336, 256, 0.0205910418208229
2100, 336, 256, 0.0205910418208229
2150, 672, 512, 0.0411135378486382
2200, 671, 512, 0.0411135378486382
2250, 1007, 768, 0.0615674880834461
2300, 1007, 768, 0.0615674880834461
2350, 1007, 768, 0.0615674880834461
2400, 1340, 1024, 0.0819528925252464
2450, 1340, 1280, 0.102269751174039
2500, 1670, 1280, 0.102269751174039
2550, 1670, 1280, 0.102269751174039
2600, 2004, 1536, 0.122518064029825
2650, 2004, 1536, 0.122518064029825
2700, 2331, 1792, 0.142697831092602
2750, 2331, 1792, 0.142697831092602
2800, 2659, 2048, 0.162809052362373
2850, 2659, 2048, 0.162809052362373
2900, 2986, 2304, 0.182851727839135
2950, 2990, 2304, 0.182851727839135
3000, 3313, 2560, 0.202825857522891
3050, 3313, 2560, 0.202825857522891
3100, 3643, 2816, 0.222731441413639
3150, 3643, 2816, 0.222731441413639
3200, 3967, 3072, 0.242568479511379
3250, 3962, 3072, 0.242568479511379
